mc,country,bge
1,globe,0.01923991171763806
1,AFG,0.0019499378680660762
1,AGO,0.015279240200048338
1,ALB,0.009564391949667073
1,ARE,0.023157106088458113
1,ARG,0.006252736351156862
1,ARM,-0.002903108729414239
1,ATA,NaN
1,ATF,NaN
1,ATG,0.11453909103314297
1,AUS,0.021746595946377845
1,AUT,-0.003074027353640152
1,AZE,0.0035979944207404913
1,BDI,0.010225256192742282
1,BEL,0.004869278038623026
1,BEN,0.015812174292485492
1,BFA,0.01947476556651595
1,BGD,0.018460379502187596
1,BGR,0.0011598803237535815
1,BHR,0.05444057842437622
1,BHS,0.061418828080626486
1,BIH,-0.00016507961032152796
1,BLR,-0.005081549794029527
1,BLZ,0.03126004887462863
1,BMU,0.04349634176995676
1,BOL,0.005726985975636367
1,BRA,0.017111865572913665
1,BRB,0.025968551554699237
1,BRN,0.012450758734192435
1,BTN,0.002938263049643508
1,BWA,0.014845149603587293
1,CAF,0.014704531912826946
1,CAN,-0.003777931836272397
1,CHE,-0.0030408780316963924
1,CHL,0.004367261339214057
1,CHN,0.007497669025506193
1,CIV,0.015173005091531078
1,CMR,0.03153520035200619
1,COD,0.013523781953951985
1,COG,0.016573923666649115
1,COL,0.012942860197453054
1,COM,0.01989893037319912
1,CPV,0.0397023441251112
1,CRI,0.011206674511234027
1,CUB,NaN
1,CYN,NaN
1,CYP,0.012943680012294179
1,CZE,-0.0027207337696436573
1,DEU,0.000615302266942841
1,DJI,0.02479797957022689
1,DMA,0.10855720026208093
1,DNK,0.01078038510992596
1,DOM,0.01448794637997941
1,DZA,0.01213776723173332
1,ECU,0.01329955178763953
1,EGY,0.017825141718698534
1,ERI,0.016532884699916206
1,ESP,0.008739773707949539
1,EST,-0.006046972108867954
1,ETH,0.00950679331455584
1,FIN,-0.008229961600101587
1,FJI,0.03050584649121224
1,FLK,NaN
1,FRA,0.0032873226095562202
1,FSM,0.5343276514798474
1,GAB,0.017880423914643284
1,GBR,0.005710839790763256
1,GEO,0.0027949240746423243
1,GHA,0.01592581838672502
1,GIN,0.01626339762967599
1,GMB,0.037559721976798244
1,GNB,0.024090016446226326
1,GNQ,0.013133895658170136
1,GRC,0.010599146652636504
1,GRD,0.053887969325135954
1,GRL,NaN
1,GTM,0.011684254341014055
1,GUY,0.03555403880874586
1,HKG,0.016738100727380356
1,HND,0.016006815627155113
1,HRV,0.003225405208222787
1,HTI,0.021428145257865072
1,HUN,0.0006320360779816792
1,IDN,0.0176305348227781
1,IND,0.04614639693509748
1,IRL,0.005319440092974359
1,IRN,0.008113355297937774
1,IRQ,0.022025774922249886
1,ISL,-0.006752559119805102
1,ISR,0.011997014087881785
1,ITA,0.006138442481969264
1,JAM,0.04115555778807911
1,JOR,0.011225898968612036
1,JPN,0.007205321110753227
1,KAZ,-0.005126600907998102
1,KEN,0.011113215571393775
1,KGZ,-0.004470314570177769
1,KHM,0.014895920461339696
1,KNA,0.013626620578955473
1,KOR,0.005244383046644652
1,KOS,NaN
1,KWT,0.025800023916269677
1,LAO,0.012198112299249164
1,LBN,0.016976835638400578
1,LBR,0.014280472881079698
1,LBY,0.01387897165251717
1,LKA,0.01655281949289522
1,LSO,0.0029421037047678844
