time,SLR,trialnum,total_damages_global_peryear_percent,T_AT
2010,0.04,1,0.029829234233111346,0.854
2011,0.05079170045377461,1,0.7189942424077248,0.8707658921625477
2012,0.05361724507814369,1,1.2526674074795974,0.8897193282547117
2013,0.05642073504905026,1,1.0799014223921477,0.9150318027086962
2014,0.05949168086818711,1,0.9855289592108697,0.9370357613793808
2015,0.0625709640838392,1,0.9444327453443493,0.9523051710721154
2016,0.06555426609120524,1,1.5446280142138975,0.9617154976276551
2017,0.0685111864424176,1,1.4161527730059704,0.9700397934845298
2018,0.07185130569173068,1,1.3541171154575178,0.9806589223787329
2019,0.0748538063863299,1,1.3451936792773878,0.9924412701429738
2020,0.07820828712014044,1,1.3795415224347947,1.0051260300247105
2021,0.08141556397838753,1,1.449474557135577,1.0210575664356485
2022,0.08461853205813412,1,1.555451907798594,1.0410518464407663
2023,0.08807664774461502,1,1.6891080343354623,1.061739600570943
2024,0.0915399083956756,1,1.8399180954486694,1.0807621909560043
2025,0.09511614505082645,1,2.5881259789444306,1.0976238998738084
2026,0.09842692042830328,1,2.588241511627581,1.1128220790223242
2027,0.10195390173428409,1,2.621240061891209,1.1273035326189418
2028,0.10559428258074786,1,2.678329979002024,1.142639796736073
2029,0.10910824315090659,1,2.7539146715463136,1.1588046284804117
2030,0.11288292751891646,1,2.8439329894244767,1.1752969762196126
2031,0.11667630276592311,1,2.945250972049283,1.1924520983726716
2032,0.12059884645753452,1,3.0569597161586253,1.210477696510107
2033,0.12408348439310588,1,3.1807006453511417,1.2309788603594525
2034,0.1279877078953793,1,3.3211172401455222,1.2550072828438235
2035,0.1316997515867015,1,3.475916295715813,1.2789831946336854
2036,0.13564624048391832,1,3.639909196184207,1.3016855884759426
2037,0.13968122055202434,1,3.8067379331682494,1.322650589405621
2038,0.1436579206190535,1,3.971276784970063,1.3419198152555962
2039,0.14778378220692287,1,4.130523140235857,1.3601657038496007
2040,0.1516934969001324,1,4.8340816341290695,1.3763466004836484
2041,0.15585232836015706,1,4.823230821060023,1.392653075220296
2042,0.1604604263709515,1,4.846212125465815,1.4113788450328952
2043,0.16481514884460458,1,4.8972880336389215,1.433390460779842
2044,0.1691825352278244,1,5.1019997144277385,1.458113158003453
2045,0.17362857663889453,1,5.296547580630465,1.4865125305159874
2046,0.17834134437827243,1,5.3626957786213945,1.5173095681538045
2047,0.18273211841558024,1,5.993769008950729,1.5486593348280864
2048,0.18720425768591334,1,5.978406309267111,1.5790396128853939
2049,0.19208930950441103,1,6.527345747536493,1.6058100447809687
2050,0.19692639130609335,1,6.446219551380223,1.6289849938947127
2051,0.20174548573069961,1,6.530704366144515,1.6512048310077514
2052,0.20696134929991972,1,6.621005636993743,1.673607348054861
2053,0.21202346184738402,1,6.5944263803802325,1.6956146190162746
2054,0.21738328725304815,1,7.1132817073580465,1.718537132032131
2055,0.2222042518634692,1,7.022424367423606,1.7438632674352892
2056,0.22695126120451672,1,7.000381629470074,1.7713832987274003
2057,0.2318389184486533,1,7.149013023629648,1.7980288800919877
2058,0.23681123936301826,1,7.179521054835805,1.8228673050116897
2059,0.2418143583459771,1,7.738438533110008,1.8473719196865077
2060,0.24699828407749316,1,8.16743806755281,1.8697318843349788
2061,0.2522877224657599,1,8.129015561997436,1.889733657675194
2062,0.2572672423965642,1,8.1285764450019,1.9093554432567625
2063,0.2627004025693999,1,8.517594604910034,1.929541060323705
2064,0.2683443607626479,1,8.465298902865038,1.9505561626053751
2065,0.27369379236777813,1,8.459932505611112,1.9724425533092353
2066,0.2789424235782594,1,8.381585891862912,1.996716235806173
2067,0.2853250802780899,1,8.483262138326374,2.0230411903049212
2068,0.291051341888291,1,8.489913121755606,2.0489036537974505
2069,0.29736565637665024,1,9.00773188485489,2.072348210552981
2070,0.3022385414472759,1,8.944706943542757,2.0928202886422933
2071,0.3084965319718658,1,8.91776576587747,2.111090968735814
2072,0.31466844723021126,1,8.923435722531577,2.1289949157628913
2073,0.3210361585470776,1,9.064634193138353,2.147636582396168
2074,0.32719142985443483,1,9.08076905812429,2.166076296894196
2075,0.33351554479614,1,9.117785073338666,2.1843867454686037
2076,0.34030254639847063,1,9.171134896646935,2.202876945636696
2077,0.34637714339293,1,9.237540783437051,2.2219764118593535
2078,0.3528318486422687,1,9.776564314491155,2.24272958878247
2079,0.35840579933207894,1,9.742891698034553,2.2647702836551917
2080,0.3648614826236358,1,9.75758269308077,2.2867728184154217
2081,0.3721135114909958,1,9.796407993789355,2.3074290783711158
2082,0.3790069948991209,1,9.85794451577621,2.326667977571351
2083,0.38680091422881,1,10.0380572287422,2.344368574055842
2084,0.3939304835106513,1,10.085571131632147,2.361213626973771
2085,0.40131041895047476,1,10.141318265868685,2.3771766567424497
2086,0.4080554835377839,1,10.30537666299875,2.392353906260225
2087,0.4153538950180178,1,10.774449536878326,2.4087147081214937
2088,0.42201544907757793,1,10.799118387238796,2.4263095413055744
2089,0.4292948257373987,1,10.742169750848612,2.445551327659064
2090,0.43620235508885963,1,10.735575079003425,2.467286414228858
2091,0.44378481323449914,1,10.761101705492184,2.4901839950371802
2092,0.4512450725026612,1,10.820780306490441,2.5136000997582704
2093,0.45841654930374404,1,10.90116059480922,2.535064803503259
2094,0.4654913592375082,1,10.985612898344172,2.5524665171622885
2095,0.4732843714347157,1,11.168803703188754,2.568203481973333
2096,0.481018180886094,1,11.215155319661468,2.583404329820914
2097,0.4885237629171348,1,11.264874272067534,2.599028349095089
2098,0.49641939777417665,1,11.319090332217872,2.6156378444273254
2099,0.5039152151419816,1,11.480213934475309,2.633650037045996
2100,0.5121064518047554,1,11.524115951968927,2.6541790706882775
2010,0.04,2,0.029829234233111346,0.854
2011,0.04910427142511816,2,0.7189942424077248,0.8949838316914484
2012,0.0509394261704258,2,1.2526674074795974,0.9351366387227508
2013,0.052735329461045685,2,1.0799014223921477,0.9780588908786859
2014,0.05464546276583802,2,0.9855289592108697,1.0176007791282193
2015,0.05706170381254032,2,0.9444327453443493,1.0524173007011957
2016,0.059382770437452666,2,1.5446280142138975,1.089618849822755
2017,0.06174438514985227,2,1.4161527730059704,1.1330483579883261
2018,0.06442914304342164,2,1.3541171154575178,1.180569113425606
2019,0.06691320742633468,2,1.3451936792773878,1.23052323073372
2020,0.06979648907691013,2,1.3795415224347947,1.2827814052737354
2021,0.07272910113164896,2,1.449474557135577,1.3387984561359145
2022,0.07563460972844369,2,1.555451907798594,1.3970423355211432
2023,0.07890971967697119,2,1.6891080343354623,1.452854556430784
2024,0.08214425736327793,2,1.8399180954486694,1.5038974655278672
2025,0.0856761266700944,2,2.5881259789444306,1.5494912880782863
2026,0.08891631269495132,2,2.588241511627581,1.5902637263367403
2027,0.09244138542501197,2,2.621240061891209,1.6278576299962046
2028,0.0960652032606535,2,2.678329979002024,1.6647355407708209
2029,0.09965251127213781,2,2.7539146715463136,1.7015616231804924
2030,0.10416694856192413,2,2.8439329894244767,1.7380775967473334
2031,0.10877312954669285,2,2.945250972049283,1.7744421459943491
2032,0.11355593039884605,2,3.0569597161586253,1.8104317213871348
2033,0.11794687081631507,2,3.1807006453511417,1.8480304943403638
2034,0.12287956412920888,2,3.3211172401455222,1.889362963490476
2035,0.12751432060730883,2,3.475916295715813,1.9307839315664692
2036,0.13239682437384326,2,3.639909196184207,1.9702673522175762
2037,0.13752276449111508,2,3.8067379331682494,2.0067097683825605
2038,0.14252103982319436,2,3.971276784970063,2.0398093168522218
2039,0.14781097780475794,2,4.130523140235857,2.070256564596342
2040,0.15287983670521077,2,4.8340816341290695,2.0968745797620674
2041,0.1583889151478117,2,4.823230821060023,2.121625768502864
2042,0.1644640317404683,2,4.846212125465815,2.14682398616906
2043,0.1701626871467607,2,4.8972880336389215,2.1741354840938416
2044,0.17600867873487186,2,5.1019997144277385,2.2039692668448962
2045,0.18189021173057432,2,5.296547580630465,2.2381441189732914
2046,0.18807470088426417,2,5.3626957786213945,2.2757258877425834
2047,0.19382632456317345,2,5.993769008950729,2.314443171718701
2048,0.19972488804340338,2,5.978406309267111,2.351953139530735
2049,0.2061270976959635,2,6.527345747536493,2.3843651597011255
2050,0.21237114863506126,2,6.446219551380223,2.4107112801059176
2051,0.21867116096114994,2,6.530704366144515,2.433842168663485
2052,0.22542190393322808,2,6.621005636993743,2.4557002015590337
2053,0.23197223639394254,2,6.5944263803802325,2.4761163270505655
2054,0.23891401708973575,2,7.1132817073580465,2.4968350894436337
2055,0.24535814891217303,2,7.022424367423606,2.5201437232796016
2056,0.251434124912911,2,7.000381629470074,2.546414389701318
2057,0.2575016450756646,2,7.149013023629648,2.5720953476409627
2058,0.2637166880678364,2,7.179521054835805,2.595357570335223
2059,0.2699475333023814,2,7.738438533110008,2.617491364105535
2060,0.2763208239446091,2,8.16743806755281,2.636382578027367
2061,0.28300668957262687,2,8.129015561997436,2.65143405897988
2062,0.28922898821126364,2,8.1285764450019,2.665027802954024
2063,0.29593175934835947,2,8.517594604910034,2.6788083808533374
2064,0.30286802505945476,2,8.465298902865038,2.693500831452169
2065,0.30940644574103243,2,8.459932505611112,2.709402260000152
2066,0.31611005629980465,2,8.381585891862912,2.72853876136294
2067,0.3238585071843051,2,8.483262138326374,2.7509746350279665
2068,0.3308457471965621,2,8.489913121755606,2.773723514518173
2069,0.33854243819675556,2,9.00773188485489,2.793749781250172
2070,0.3449842330501046,2,8.944706943542757,2.8095559643802446
2071,0.35287619694013317,2,8.91776576587747,2.8216322981373554
2072,0.3605914455423643,2,8.923435722531577,2.8323364195149145
2073,0.36844733239201943,2,9.064634193138353,2.843542500434542
2074,0.37602968737047066,2,9.08076905812429,2.8545447163192588
2075,0.38391803637875865,2,9.117785073338666,2.865391221566452
2076,0.3920566236688989,2,9.171134896646935,2.8764751253587426
2077,0.39962530363937226,2,9.237540783437051,2.888427631763454
2078,0.40736697774240543,2,9.776564314491155,2.9027176473679446
2079,0.41468220586344523,2,9.742891698034553,2.919252472660532
2080,0.4224896754590551,2,9.75758269308077,2.936456439642358
2081,0.43132452384341224,2,9.796407993789355,2.952307816238449
2082,0.43976389620152057,2,9.85794451577621,2.96607561770366
2083,0.4491863678107153,2,10.0380572287422,2.977307025884199
