country,bge,rcp
FSM,0.1824476971502469,NP-Base
GAB,0.005539318130585835,NP-Base
GBR,-0.002456165840385882,NP-Base
GEO,-0.010600829053734384,NP-Base
GHA,0.005794448268277241,NP-Base
GIN,0.008266496927927802,NP-Base
GLP,NaN,NP-Base
GMB,0.01214979947925543,NP-Base
GNB,0.007905206052726488,NP-Base
GNQ,0.004708203019483603,NP-Base
GRC,0.0038554971837845287,NP-Base
GRD,0.011501402142912731,NP-Base
GTM,0.010083786770135328,NP-Base
GUF,NaN,NP-Base
GUY,0.011787952305776894,NP-Base
HKG,0.0061176580792212665,NP-Base
HND,0.007121780948019296,NP-Base
HRV,-0.002724797037198412,NP-Base
HTI,0.0030206486464599003,NP-Base
HUN,-0.0046171477405706485,NP-Base
IDN,0.001013765810675027,NP-Base
IND,0.006174375448131819,NP-Base
IRL,-0.00040169320095895245,NP-Base
IRN,0.009402230460068273,NP-Base
IRQ,0.015455355068139554,NP-Base
ISL,-0.01987773930219927,NP-Base
ISR,0.00941335940328214,NP-Base
ITA,-0.00015249057585164927,NP-Base
JAM,0.009495017775072556,NP-Base
JOR,0.01042592263803499,NP-Base
JPN,-0.001531183329463781,NP-Base
KAZ,-0.017883838028527,NP-Base
KEN,0.00970270416425012,NP-Base
KGZ,-0.032869027435203924,NP-Base
KHM,0.0013068544875878274,NP-Base
KNA,-0.004399129846212491,NP-Base
KOR,-0.000899940990759629,NP-Base
KWT,0.016901080536287694,NP-Base
LAO,0.004986450001176035,NP-Base
LBN,0.007554224542799082,NP-Base
LBR,0.003934486556879557,NP-Base
LBY,0.012002713722209402,NP-Base
LIE,NaN,NP-Base
LKA,0.0012772260967193194,NP-Base
LSO,-0.0007075547249800751,NP-Base
LTU,-0.013922014799781168,NP-Base
LUX,-0.00598028855877486,NP-Base
LVA,-0.015741868308352336,NP-Base
MAR,0.010098701862891524,NP-Base
MDA,-0.005590394930847897,NP-Base
MDG,0.005620069415124496,NP-Base
MEX,0.009772048833259328,NP-Base
MKD,-0.004653874248884193,NP-Base
MLI,0.013532156653893734,NP-Base
MMR,0.004106222439977714,NP-Base
MNE,-0.007436208318364446,NP-Base
MNG,-0.03744790242265961,NP-Base
MOZ,0.009306956277905565,NP-Base
MRT,0.010574749669892025,NP-Base
MTQ,NaN,NP-Base
MUS,-0.0006816548743164841,NP-Base
MWI,0.00931220330574245,NP-Base
MYS,0.003217672227093793,NP-Base
NAM,0.011477927171774427,NP-Base
NCL,NaN,NP-Base
NER,0.011312833288045221,NP-Base
NGA,0.007466628191816094,NP-Base
NIC,0.004468949529126576,NP-Base
NLD,0.022179550302940054,NP-Base
NOR,-0.02900954825115365,NP-Base
NPL,0.00047561272546858824,NP-Base
NRU,0.015373455027227312,NP-Base
NZL,0.004755696925899278,NP-Base
OMN,0.0109673939225301,NP-Base
PAK,0.009861874488096722,NP-Base
PAN,0.003143736218936377,NP-Base
PER,0.009867306709043788,NP-Base
PHL,0.004510067127539097,NP-Base
PLW,0.008367783664183559,NP-Base
PNG,0.0028579243430568724,NP-Base
POL,-0.009551324912534964,NP-Base
PRI,0.002015434408213057,NP-Base
PRK,NaN,NP-Base
PRT,0.0036301667869389487,NP-Base
PRY,0.01242965190547829,NP-Base
PSE,0.00850468026613238,NP-Base
QAT,0.013083399533886375,NP-Base
REU,NaN,NP-Base
ROU,-0.0071328860571922,NP-Base
RUS,-0.06282103730556243,NP-Base
RWA,0.007552652692613737,NP-Base
SAU,0.01631631666605582,NP-Base
SDN,0.010341658929864161,NP-Base
SEN,0.010571367265461262,NP-Base
SLB,0.005248124635231388,NP-Base
SLE,0.01405248857788588,NP-Base
SLV,0.005998688613795267,NP-Base
SMR,-0.003398368787202233,NP-Base
SOM,NaN,NP-Base
SRB,-0.004059192741996731,NP-Base
SSD,0.007649880848959567,NP-Base
STP,0.003984250183999283,NP-Base
SUR,0.00904509644719842,NP-Base
SVK,-0.011262494719346039,NP-Base
SVN,-0.007906102418373862,NP-Base
SWE,-0.027569635352457267,NP-Base
SYR,NaN,NP-Base
TCD,0.008917984028415482,NP-Base
TGO,0.007275836611559283,NP-Base
THA,0.004877368748689159,NP-Base
TJK,-0.02387146868183021,NP-Base
TKM,0.005013962470907574,NP-Base
TLS,0.0003886225836258195,NP-Base
TON,0.03848759716248118,NP-Base
TTO,-0.0005486032423676068,NP-Base
TUN,0.01718447834307013,NP-Base
TUR,-0.0022693118155164838,NP-Base
TUV,0.05446677811787515,NP-Base
TWN,NaN,NP-Base
TZA,0.007980411575021717,NP-Base
UGA,0.0073381212377618965,NP-Base
UKR,-0.00794392184415138,NP-Base
URY,0.005231731367588477,NP-Base
USA,-0.008922467495476316,NP-Base
UZB,-0.0002693639429778294,NP-Base
VEN,0.008886503776025956,NP-Base
VNM,0.007649705548121499,NP-Base
VUT,0.0031334682053445473,NP-Base
WSM,0.000934815315361881,NP-Base
YEM,0.013047910474430546,NP-Base
ZAF,0.006985028197272758,NP-Base
ZMB,0.011456203398717335,NP-Base
ZWE,0.011518524040752487,NP-Base
globe,0.0028027944969646335,CP-Base
AFG,0.0007700007407158704,CP-Base
AGO,0.010471369226505045,CP-Base
ALB,0.00051350362294178,CP-Base
AND,NaN,CP-Base
ARE,0.012557681601771842,CP-Base
ARG,0.0016162775138710561,CP-Base
ARM,-0.014582803628515717,CP-Base
ATG,0.032631307821709976,CP-Base
AUS,0.014954838143456994,CP-Base
AUT,-0.013601036760974794,CP-Base
AZE,-0.000572243505415515,CP-Base
BDI,0.00821427337216285,CP-Base
BEL,-0.0026174695423546446,CP-Base
BEN,0.0055954596373106735,CP-Base
BFA,0.010348129457351307,CP-Base
BGD,0.007278202446055371,CP-Base
BGR,-0.0035296715437482806,CP-Base
BHR,0.024579103312013295,CP-Base
BHS,0.01817621379577883,CP-Base
BIH,-0.00662614517082416,CP-Base
BLR,-0.014538788909937206,CP-Base
BLZ,0.010381504952355902,CP-Base
BMU,0.013855301232962303,CP-Base
BOL,0.016611590174036017,CP-Base
BRA,0.011378853586080595,CP-Base
BRB,-0.0016766013910878286,CP-Base
BRN,-0.0011405474675343363,CP-Base
BTN,-0.002698066143242084,CP-Base
BWA,0.015323134987848652,CP-Base
CAF,0.008979067924732353,CP-Base
CAN,-0.05723307328168237,CP-Base
CHE,-0.015355692542034394,CP-Base
CHL,-0.0032717754552727962,CP-Base
CHN,-0.009346778471058692,CP-Base
CIV,0.005259366728183057,CP-Base
CMR,0.01380012738234293,CP-Base
COD,0.009687055868033312,CP-Base
COG,0.007941893922866816,CP-Base
COL,0.012232970153716272,CP-Base
COM,-0.001077885062856887,CP-Base
CPV,0.013734537900456534,CP-Base
CRI,0.005000078973380395,CP-Base
CUB,NaN,CP-Base
CYP,0.0069031132035823894,CP-Base
CZE,-0.009933664452220103,CP-Base
DEU,-0.00612403234804848,CP-Base
DJI,0.007579161918280564,CP-Base
DMA,0.035833709131140035,CP-Base
DNK,-0.0028927444888684484,CP-Base
DOM,0.00014333118044396187,CP-Base
DZA,0.019004342774272764,CP-Base
ECU,0.007423514966207634,CP-Base
EGY,0.013676559235935137,CP-Base
ERI,0.01475310963821208,CP-Base
ESH,NaN,CP-Base
ESP,0.0017252800361400311,CP-Base
EST,-0.01937306952413209,CP-Base
ETH,0.010737808081403566,CP-Base
FIN,-0.03557317343297017,CP-Base
FJI,0.006888841974458826,CP-Base
FRA,-0.002305477809213974,CP-Base
FSM,0.18190439823243953,CP-Base
GAB,0.005294728444574348,CP-Base
GBR,-0.002421291729918451,CP-Base
GEO,-0.010547664879803853,CP-Base
GHA,0.005490665331086664,CP-Base
GIN,0.007994334846812778,CP-Base
GLP,NaN,CP-Base
GMB,0.011822757137890605,CP-Base
GNB,0.00760700204241771,CP-Base
GNQ,0.00448788020947033,CP-Base
GRC,0.0038167071350714288,CP-Base
GRD,0.011270340305798987,CP-Base
GTM,0.009905286635588206,CP-Base
GUF,NaN,CP-Base
GUY,0.011496183125218717,CP-Base
HKG,0.00596159144725128,CP-Base
HND,0.006940052616165371,CP-Base
HRV,-0.0027143428313388673,CP-Base
HTI,0.002825174600417757,CP-Base
HUN,-0.004597783569407987,CP-Base
IDN,0.0008233345759358635,CP-Base
IND,0.0059787950036107596,CP-Base
IRL,-0.000376628762188691,CP-Base
IRN,0.009294634471916474,CP-Base
IRQ,0.01521528578905329,CP-Base
ISL,-0.019777119658260123,CP-Base
ISR,0.009261225953538288,CP-Base
ITA,-0.00015749307584078664,CP-Base
JAM,0.009294932926443567,CP-Base
JOR,0.010273621143603195,CP-Base
JPN,-0.0015165357895976506,CP-Base
KAZ,-0.017810947631326957,CP-Base
KEN,0.009475392042934239,CP-Base
KGZ,-0.032745669245971,CP-Base
KHM,0.001072187853526918,CP-Base
KNA,-0.004586225433936608,CP-Base
KOR,-0.0008952073749541878,CP-Base
KWT,0.016572783745464115,CP-Base
LAO,0.004813069150845228,CP-Base
LBN,0.007489883284493404,CP-Base
LBR,0.0037001916407062296,CP-Base
LBY,0.011777623248739655,CP-Base
LIE,NaN,CP-Base
LKA,0.0010867349991037223,CP-Base
LSO,-0.0007117493316165513,CP-Base
LTU,-0.013852970151679078,CP-Base
LUX,-0.00594458549938226,CP-Base
LVA,-0.015664587275539876,CP-Base
MAR,0.009988905716747931,CP-Base
MDA,-0.005569649843297997,CP-Base
MDG,0.005445269777634598,CP-Base
MEX,0.009627031806659359,CP-Base
MKD,-0.004635306422757779,CP-Base
MLI,0.01312743738097999,CP-Base
MMR,0.003933088372878091,CP-Base
MNE,-0.007391930155968174,CP-Base
MNG,-0.03732732378467407,CP-Base
MOZ,0.009061458652790177,CP-Base
MRT,0.010180624705229846,CP-Base
MTQ,NaN,CP-Base
MUS,-0.0008165344909177863,CP-Base
MWI,0.00910241287355995,CP-Base
MYS,0.003023374454888872,CP-Base
NAM,0.01129187700685974,CP-Base
NCL,NaN,CP-Base
NER,0.010924032308593512,CP-Base
NGA,0.007150775523337094,CP-Base
NIC,0.004260785867103989,CP-Base
NLD,0.022166043247091816,CP-Base
NOR,-0.028875481392350744,CP-Base
NPL,0.0004588670226857161,CP-Base
NRU,0.015151475821481464,CP-Base
NZL,0.004768678318750608,CP-Base
OMN,0.010686779553105152,CP-Base
PAK,0.009713324535755907,CP-Base
PAN,0.0029437693004799037,CP-Base
PER,0.009728798424012641,CP-Base
PHL,0.004331133745498983,CP-Base
PLW,0.008152508145276016,CP-Base
PNG,0.00269161845214394,CP-Base
POL,-0.009501573975027933,CP-Base
PRI,0.0018375515241344509,CP-Base
PRK,NaN,CP-Base
PRT,0.0035882718518540635,CP-Base
PRY,0.01219667516215539,CP-Base
PSE,0.008360769629618625,CP-Base
QAT,0.012724031328551488,CP-Base
REU,NaN,CP-Base
ROU,-0.007097482624580431,CP-Base
RUS,-0.06257299330510135,CP-Base
RWA,0.007417169758293651,CP-Base
SAU,0.015997792054857074,CP-Base
SDN,0.00996494358277289,CP-Base
SEN,0.010220346893053733,CP-Base
SLB,0.005087585514312654,CP-Base
SLE,0.013767178928869583,CP-Base
SLV,0.005785914998569064,CP-Base
SMR,-0.0033847046834390992,CP-Base
SOM,NaN,CP-Base
SRB,-0.0040439465711444855,CP-Base
SSD,0.007317395234133439,CP-Base
STP,0.0038472491420364907,CP-Base
SUR,0.008764314637010218,CP-Base
SVK,-0.011205527449033803,CP-Base
SVN,-0.007865505057698674,CP-Base
SWE,-0.027431504284739505,CP-Base
SYR,NaN,CP-Base
TCD,0.008548095728657001,CP-Base
TGO,0.006973261765562899,CP-Base
THA,0.004653035068351796,CP-Base
TJK,-0.023748139710776717,CP-Base
TKM,0.004959530661981848,CP-Base
TLS,0.00023944544157239456,CP-Base
TON,0.03831791649931526,CP-Base
TTO,-0.0007701150675710755,CP-Base
TUN,0.017022823552067745,CP-Base
TUR,-0.0022627143018690843,CP-Base
TUV,0.05423179597428596,CP-Base
TWN,NaN,CP-Base
TZA,0.007768629890429812,CP-Base
UGA,0.00713146669823872,CP-Base
UKR,-0.00790650545512983,CP-Base
URY,0.005150215553527238,CP-Base
USA,-0.008848974374989438,CP-Base
UZB,-0.0002801039182686038,CP-Base
VEN,0.008623664986685986,CP-Base
VNM,0.007454282126503564,CP-Base
VUT,0.0030029055001350446,CP-Base
WSM,0.0007688841306072725,CP-Base
YEM,0.012820425068271746,CP-Base
ZAF,0.006866215141160703,CP-Base
ZMB,0.011235052571018755,CP-Base
ZWE,0.011310705955264844,CP-Base
globe,0.0016560847198534567,1.5-Base
AFG,0.0006087565535717321,1.5-Base
AGO,0.008627619939062026,1.5-Base
ALB,0.0005070873411152643,1.5-Base
AND,NaN,1.5-Base
ARE,0.009589501922915966,1.5-Base
ARG,0.0013197560905102712,1.5-Base
ARM,-0.013949180260574234,1.5-Base
ATG,0.030197008376429135,1.5-Base
AUS,0.013323805527424959,1.5-Base
AUT,-0.012891915158499745,1.5-Base
AZE,-0.000614747352717826,1.5-Base
BDI,0.006757841641728879,1.5-Base
BEL,-0.0023675663374788103,1.5-Base
BEN,0.002882856346412277,1.5-Base
BFA,0.007346753944005968,1.5-Base
BGD,0.005450970427686386,1.5-Base
BGR,-0.0033920192511364133,1.5-Base
BHR,0.02130270770852727,1.5-Base
BHS,0.01626651007011115,1.5-Base
BIH,-0.00629911346525347,1.5-Base
BLR,-0.01394622017067959,1.5-Base
BLZ,0.008420574949285387,1.5-Base
BMU,0.012352445620151808,1.5-Base
BOL,0.015029353105894927,1.5-Base
BRA,0.00908064717857715,1.5-Base
BRB,-0.0034774266210743088,1.5-Base
BRN,-0.002911784571381637,1.5-Base
BTN,-0.0025726736149250806,1.5-Base
BWA,0.013232397578678778,1.5-Base
CAF,0.006600830339891228,1.5-Base
CAN,-0.054380245002109806,1.5-Base
CHE,-0.014522234471932127,1.5-Base
CHL,-0.002931726437627513,1.5-Base
CHN,-0.008620890371045187,1.5-Base
CIV,0.002979470322794997,1.5-Base
CMR,0.011513843433896831,1.5-Base
COD,0.007487979421566315,1.5-Base
COG,0.0057635072455659575,1.5-Base
COL,0.01033660434387329,1.5-Base
COM,-0.0027052543666965523,1.5-Base
CPV,0.012389851198157054,1.5-Base
CRI,0.0034201535396931604,1.5-Base
CUB,NaN,1.5-Base
CYP,0.006050695291834218,1.5-Base
CZE,-0.009427945768178403,1.5-Base
DEU,-0.005745800703638504,1.5-Base
DJI,0.004686501134328225,1.5-Base
DMA,0.033905244088107134,1.5-Base
DNK,-0.0025391060722558256,1.5-Base
DOM,-0.0013638949335536,1.5-Base
DZA,0.016978157134034166,1.5-Base
ECU,0.006104933370945087,1.5-Base
EGY,0.011617977541039881,1.5-Base
ERI,0.012234334146366432,1.5-Base
ESH,NaN,1.5-Base
ESP,0.0015747827660894664,1.5-Base
EST,-0.01852489142992697,1.5-Base
ETH,0.009049200624790865,1.5-Base
FIN,-0.034121017105322116,1.5-Base
FJI,0.005671620505940833,1.5-Base
FRA,-0.0021507199443909775,1.5-Base
FSM,0.17648135301600432,1.5-Base
GAB,0.003271022412113078,1.5-Base
GBR,-0.0021047382010163096,1.5-Base
GEO,-0.010033581297786642,1.5-Base
GHA,0.0029805080630962433,1.5-Base
GIN,0.0057168512759133705,1.5-Base
GLP,NaN,1.5-Base
GMB,0.009074867208868076,1.5-Base
GNB,0.005114259225375006,1.5-Base
GNQ,0.0026545114446003826,1.5-Base
GRC,0.003488035727041483,1.5-Base
GRD,0.009289428865945082,1.5-Base
GTM,0.008364087751194349,1.5-Base
GUF,NaN,1.5-Base
GUY,0.009025588496799353,1.5-Base
HKG,0.004627524085681234,1.5-Base
HND,0.005389786832764365,1.5-Base
HRV,-0.002598158547272633,1.5-Base
HTI,0.001187444326924414,1.5-Base
HUN,-0.0043967247917355845,1.5-Base
IDN,-0.0007672540519293447,1.5-Base
IND,0.0043060327019133204,1.5-Base
IRL,-0.00015486715044532584,1.5-Base
IRN,0.008363502807876788,1.5-Base
IRQ,0.013158874032956458,1.5-Base
ISL,-0.01881100127718982,1.5-Base
ISR,0.007958916524929194,1.5-Base
ITA,-0.00018381693661650989,1.5-Base
JAM,0.007585631930322689,1.5-Base
JOR,0.008969681402160479,1.5-Base
JPN,-0.0013681526035260738,1.5-Base
KAZ,-0.017091001030446362,1.5-Base
KEN,0.007560592751886919,1.5-Base
KGZ,-0.03152673387930238,1.5-Base
KHM,-0.0008936702095753146,1.5-Base
KNA,-0.00612737468819724,1.5-Base
KOR,-0.0008371821883200736,1.5-Base
KWT,0.01378249976296897,1.5-Base
LAO,0.0033421868743352956,1.5-Base
LBN,0.006932102006689478,1.5-Base
LBR,0.0017624200232644327,1.5-Base
LBY,0.009868272113317866,1.5-Base
LIE,NaN,1.5-Base
LKA,-0.0005051998209285591,1.5-Base
LSO,-0.0007273285311019118,1.5-Base
LTU,-0.013185509661997163,1.5-Base
LUX,-0.005600568183110277,1.5-Base
LVA,-0.014917785270207817,1.5-Base
MAR,0.009040167054115589,1.5-Base
MDA,-0.005354881513171206,1.5-Base
MDG,0.0039750306144283876,1.5-Base
MEX,0.00836979421770212,1.5-Base
MKD,-0.004439919066034248,1.5-Base
MLI,0.0097173968919686,1.5-Base
MMR,0.0024703526554783473,1.5-Base
MNE,-0.0069655751493575835,1.5-Base
MNG,-0.036102029771277855,1.5-Base
MOZ,0.006993804650666791,1.5-Base
MRT,0.006884755068648385,1.5-Base
MTQ,NaN,1.5-Base
MUS,-0.00191638852769338,1.5-Base
MWI,0.007327073782269267,1.5-Base
MYS,0.0013871207239977146,1.5-Base
NAM,0.009703972875931388,1.5-Base
NCL,NaN,1.5-Base
NER,0.007675339646243229,1.5-Base
NGA,0.004515399843175505,1.5-Base
NIC,0.0025082892102452625,1.5-Base
NLD,0.021961321594500927,1.5-Base
NOR,-0.027577860783111197,1.5-Base
NPL,0.00033620096075082095,1.5-Base
NRU,0.013211956857008822,1.5-Base
NZL,0.004865626728520311,1.5-Base
OMN,0.00832268544267345,1.5-Base
PAK,0.008422641165745759,1.5-Base
PAN,0.0012672333324816876,1.5-Base
PER,0.008526671329243785,1.5-Base
PHL,0.002813251277336226,1.5-Base
PLW,0.006312173347144956,1.5-Base
PNG,0.001288554821116339,1.5-Base
POL,-0.009020569631545627,1.5-Base
PRI,0.00035122828042388754,1.5-Base
PRK,NaN,1.5-Base
PRT,0.003233561047427891,1.5-Base
PRY,0.010188759376879908,1.5-Base
PSE,0.007137502341225455,1.5-Base
QAT,0.009705718532271979,1.5-Base
REU,NaN,1.5-Base
ROU,-0.006748099317355316,1.5-Base
RUS,-0.06013685361748078,1.5-Base
RWA,0.006263242477241082,1.5-Base
SAU,0.013292564097734827,1.5-Base
SDN,0.006816609174513211,1.5-Base
SEN,0.007283540149658707,1.5-Base
SLB,0.0037272516399808886,1.5-Base
SLE,0.011349512141707097,1.5-Base
SLV,0.003984101383971428,1.5-Base
SMR,-0.003238301929985421,1.5-Base
SOM,NaN,1.5-Base
SRB,-0.003879283588070437,1.5-Base
SSD,0.004544870944231505,1.5-Base
STP,0.002701597095854824,1.5-Base
SUR,0.006396571630289838,1.5-Base
SVK,-0.010653877002757217,1.5-Base
SVN,-0.007468646889963515,1.5-Base
SWE,-0.02610785054328324,1.5-Base
SYR,NaN,1.5-Base
TCD,0.00545612175784238,1.5-Base
TGO,0.004455993710625439,1.5-Base
THA,0.0027565717735826833,1.5-Base
TJK,-0.02256211359169169,1.5-Base
TKM,0.0044873660744806365,1.5-Base
TLS,-0.0010063597054140727,1.5-Base
TON,0.03672471373459718,1.5-Base
TTO,-0.002612177679665706,1.5-Base
TUN,0.015607032424115763,1.5-Base
TUR,-0.0021785320114794393,1.5-Base
TUV,0.05202287337147604,1.5-Base
TWN,NaN,1.5-Base
TZA,0.005987875936348974,1.5-Base
UGA,0.00539792348474033,1.5-Base
UKR,-0.007538430392374895,1.5-Base
URY,0.004448357500521638,1.5-Base
USA,-0.008158068592295287,1.5-Base
UZB,-0.0003565380750302216,1.5-Base
VEN,0.006401295110170846,1.5-Base
VNM,0.005786770513906081,1.5-Base
VUT,0.0019028031999024364,1.5-Base
WSM,-0.0006204777246481274,1.5-Base
YEM,0.01087873382602167,1.5-Base
ZAF,0.0058546859843249255,1.5-Base
ZMB,0.009357946021317565,1.5-Base
ZWE,0.009536462501534393,1.5-Base
globe,0.0025451824339774998,NP-GMP
AFG,0.0007328409342308717,NP-GMP
AGO,0.010064171001267885,NP-GMP
ALB,0.000508251741086152,NP-GMP
AND,NaN,NP-GMP
ARE,0.011902238253230335,NP-GMP
ARG,0.0015490111267815188,NP-GMP
ARM,-0.0144464026697253,NP-GMP
ATG,0.03205141938107281,NP-GMP
AUS,0.014589199439881906,NP-GMP
AUT,-0.01345016257022602,NP-GMP
AZE,-0.0005831863380668656,NP-GMP
BDI,0.007893927205309126,NP-GMP
BEL,-0.002566265861060124,NP-GMP
BEN,0.004993321106313564,NP-GMP
BFA,0.009685009326569904,NP-GMP
BGD,0.006864743735702783,NP-GMP
BGR,-0.003501848721529588,NP-GMP
BHR,0.02384515836511869,NP-GMP
BHS,0.017730347859313378,NP-GMP
BIH,-0.006557251543179876,NP-GMP
BLR,-0.014411614113721272,NP-GMP
BLZ,0.009935969435093783,NP-GMP
BMU,0.01350723838944723,NP-GMP
BOL,0.016262374290776815,NP-GMP
BRA,0.010863515428220616,NP-GMP
BRB,-0.002088427670796089,NP-GMP
BRN,-0.0015427076967171605,NP-GMP
BTN,-0.002671968836993388,NP-GMP
BWA,0.014865012718948911,NP-GMP
CAF,0.008454165693182913,NP-GMP
CAN,-0.05662619452463724,NP-GMP
CHE,-0.015178009318507102,NP-GMP
CHL,-0.003198714821692983,NP-GMP
CHN,-0.009189849669220207,NP-GMP
CIV,0.0047526472727497104,NP-GMP
CMR,0.013288820870918094,NP-GMP
COD,0.009202430263836048,NP-GMP
COG,0.007459914704029069,NP-GMP
COL,0.01180930530352109,NP-GMP
COM,-0.001442617265842716,NP-GMP
CPV,0.013426734002728091,NP-GMP
CRI,0.004645309291931188,NP-GMP
CUB,NaN,NP-GMP
CYP,0.006712980551587977,NP-GMP
CZE,-0.009826368851176825,NP-GMP
DEU,-0.0060444131666606005,NP-GMP
DJI,0.006935919234433152,NP-GMP
DMA,0.03537023562492991,NP-GMP
DNK,-0.0028221307979051646,NP-GMP
DOM,-0.00019768736078451532,NP-GMP
DZA,0.01856191821157216,NP-GMP
ECU,0.00712676847502447,NP-GMP
EGY,0.013223338709773103,NP-GMP
ERI,0.014199218190020568,NP-GMP
ESH,NaN,NP-GMP
ESP,0.0016896619833761672,NP-GMP
EST,-0.019194052656056337,NP-GMP
ETH,0.010367304878598604,NP-GMP
FIN,-0.03526695348112896,NP-GMP
FJI,0.006605837564110262,NP-GMP
FRA,-0.0022740238004644864,NP-GMP
FSM,0.18052690920022418,NP-GMP
GAB,0.004843042290640032,NP-GMP
GBR,-0.002355501313985653,NP-GMP
GEO,-0.010437783849744142,NP-GMP
GHA,0.004932264282749399,NP-GMP
GIN,0.007490536173692108,NP-GMP
GLP,NaN,NP-GMP
GMB,0.011206296944967109,NP-GMP
GNB,0.007052067970527487,NP-GMP
GNQ,0.004081348744832791,NP-GMP
GRC,0.0037420179388110153,NP-GMP
GRD,0.010810013658344886,NP-GMP
GTM,0.009561871502320907,NP-GMP
GUF,NaN,NP-GMP
GUY,0.010932988143463218,NP-GMP
HKG,0.0056596627305991465,NP-GMP
HND,0.006592480564177494,NP-GMP
HRV,-0.0026912652177919494,NP-GMP
HTI,0.002452917554356171,NP-GMP
HUN,-0.004556154566610071,NP-GMP
IDN,0.00045966914472606035,NP-GMP
IND,0.005601924685370019,NP-GMP
IRL,-0.00033081092747677676,NP-GMP
IRN,0.00909138521652153,NP-GMP
IRQ,0.01476457914612328,NP-GMP
ISL,-0.019572005413750926,NP-GMP
ISR,0.008972406473290562,NP-GMP
ITA,-0.00016543771775912042,NP-GMP
JAM,0.008900307631450888,NP-GMP
JOR,0.009987807397614734,NP-GMP
JPN,-0.00148621183608999,NP-GMP
KAZ,-0.017656568419382568,NP-GMP
KEN,0.009052303591698507,NP-GMP
KGZ,-0.03248419327754504,NP-GMP
KHM,0.0006261860306286948,NP-GMP
KNA,-0.004935642821407238,NP-GMP
KOR,-0.0008846953105976496,NP-GMP
KWT,0.015958368704085846,NP-GMP
LAO,0.004481050500497297,NP-GMP
LBN,0.007363678439987531,NP-GMP
LBR,0.003269485582193088,NP-GMP
LBY,0.011357113595461099,NP-GMP
LIE,NaN,NP-GMP
LKA,0.0007231898637072298,NP-GMP
LSO,-0.0007168901888936485,NP-GMP
LTU,-0.013711928700217646,NP-GMP
LUX,-0.005871519685148874,NP-GMP
LVA,-0.015507461210800044,NP-GMP
MAR,0.009778475064642134,NP-GMP
MDA,-0.005524309457240362,NP-GMP
MDG,0.005120398269549353,NP-GMP
MEX,0.009346519302752432,NP-GMP
MKD,-0.0045950302284620825,NP-GMP
MLI,0.012375283286933048,NP-GMP
MMR,0.0036016894589416815,NP-GMP
MNE,-0.007302734335435046,NP-GMP
MNG,-0.0370669580529247,NP-GMP
MOZ,0.00860150117473224,NP-GMP
MRT,0.009451154706425768,NP-GMP
MTQ,NaN,NP-GMP
MUS,-0.0010625574585005904,NP-GMP
MWI,0.008711474851286649,NP-GMP
MYS,0.002649650331975284,NP-GMP
NAM,0.010943368177111834,NP-GMP
NCL,NaN,NP-GMP
NER,0.010205075217213588,NP-GMP
