country,bge,rcp
globe,0.002940353392306916,NP-Base
AFG,0.0007900925704527051,NP-Base
AGO,0.010689252070941846,NP-Base
ALB,0.000515919648665708,NP-Base
AND,NaN,NP-Base
ARE,0.012910800750246532,NP-Base
ARG,0.0016520607534209475,NP-Base
ARM,-0.014647747369650133,NP-Base
ATG,0.03290493105511283,NP-Base
AUS,0.01514121143353342,NP-Base
AUT,-0.013674953533074352,NP-Base
AZE,-0.000565296691652617,NP-Base
BDI,0.008385869570786353,NP-Base
BEL,-0.0026439879470273597,NP-Base
BEN,0.005922246607421799,NP-Base
BFA,0.010705799333211141,NP-Base
BGD,0.007491599455743625,NP-Base
BGR,-0.003542130856100445,NP-Base
BHR,0.024962431124739615,NP-Base
BHS,0.018395751587223952,NP-Base
BIH,-0.006659296230284051,NP-Base
BLR,-0.014598961343080474,NP-Base
BLZ,0.010611433116404445,NP-Base
BMU,0.01402799156094603,NP-Base
BOL,0.016790511108819794,NP-Base
BRA,0.011647362964719132,NP-Base
BRB,-0.0014602645589449903,NP-Base
BRN,-0.0009284926691208728,NP-Base
BTN,-0.002709670448338808,NP-Base
BWA,0.015567202489558118,NP-Base
CAF,0.009261720843461996,NP-Base
CAN,-0.057530217006319995,NP-Base
CHE,-0.01544305384302913,NP-Base
CHL,-0.003308771250700615,NP-Base
CHN,-0.00942349693491984,NP-Base
CIV,0.005535038677389581,NP-Base
CMR,0.01406943232848401,NP-Base
COD,0.009947413650093884,NP-Base
COG,0.008200628933624055,NP-Base
COL,0.012452592527218309,NP-Base
COM,-0.0008787112550836529,NP-Base
CPV,0.013889777803640868,NP-Base
CRI,0.0051863475060682784,NP-Base
CUB,NaN,NP-Base
CYP,0.007002641954422462,NP-Base
CZE,-0.009985972427225764,NP-Base
DEU,-0.0061635462601802304,NP-Base
DJI,0.007926100661502788,NP-Base
DMA,0.03604459809823468,NP-Base
DNK,-0.002931509084813433,NP-Base
DOM,0.0003243665778029925,NP-Base
DZA,0.019237344159276804,NP-Base
ECU,0.0075771995720281815,NP-Base
EGY,0.01391817266890194,NP-Base
ERI,0.015048734834827382,NP-Base
ESH,NaN,NP-Base
ESP,0.0017441446213191103,NP-Base
EST,-0.01946012981748968,NP-Base
ETH,0.010935538338399997,NP-Base
FIN,-0.03572135382619346,NP-Base
FJI,0.007031604749485387,NP-Base
FRA,-0.0023208125828182435,NP-Base
