Year,CP-Base CO2 (Mt CO2/yr),CP-Base CH4 (Mt CH4/yr),CP-Base Forcing|other agents (W/m2),RCP4.5 CO2 (Mt CO2/yr),RCP4.5 CH4 (Mt CH4/yr),RCP4.5 Forcing|other agents (W/m2)
2061,35241.40713,355.9370661,0.013630641,34279.55667,315.92522,0.106196149
2062,34350.54944,354.0392471,0.014355136,33413.01333,314.24074,0.106920644
2063,33459.69177,352.1414282,0.015185403,32546.47,312.55626,0.107750911
2064,32568.83409,350.2436092,0.016115297,31679.92667,310.87178,0.108680805
2065,31677.9764,348.3457903,0.017126641,30813.38333,309.1873,0.109692149
2066,30787.11872,346.4479713,0.01820849,29946.84,307.50282,0.110773998
2067,29896.26104,344.5501524,0.019373084,29080.29667,305.81834,0.111938592
2068,29005.40335,342.6523334,0.020629561,28213.75333,304.13386,0.113195069
2069,28114.54567,340.7545145,0.021985331,27347.21,302.44938,0.114550839
2070,27223.68799,338.8566955,0.023194329,26480.66667,300.7649,0.115759837
2071,26080.72282,336.6077449,0.024000763,25368.89667,298.76876,0.116566271
2072,24937.75766,334.3587943,0.024653935,24257.12667,296.77262,0.117219443
2073,23794.79249,332.1098437,0.025402028,23145.35667,294.77648,0.117967536
2074,22651.82732,329.8608931,0.026238634,22033.58667,292.78034,0.118804142
2075,21508.86216,327.6119425,0.027162124,20921.81667,290.7842,0.119727632
2076,20365.89699,325.3629919,0.028155149,19810.04667,288.78806,0.120720657
2077,19222.93182,323.1140413,0.029207355,18698.27667,286.79192,0.121772863
2078,18079.96666,320.8650907,0.030334192,17586.50667,284.79578,0.1228997
2079,16937.00149,318.6161401,0.031568767,16474.73667,282.79964,0.124134275
2080,15794.03632,316.3671895,0.031946418,15362.96667,280.8035,0.124511926
2081,15805.23189,315.53695,0.030461458,15373.85667,280.06659,0.123026966
2082,15816.42745,314.7067105,0.028871036,15384.74667,279.32968,0.121436544
2083,15827.62301,313.8764711,0.028185868,15395.63667,278.59277,0.120751376
2084,15838.81857,313.0462316,0.027634481,15406.52667,277.85586,0.120199989
2085,15850.01414,312.2159922,0.027204415,15417.41667,277.11895,0.119769923
2086,15861.2097,311.3857527,0.026884512,15428.30667,276.38204,0.11945002
2087,15872.40526,310.5555133,0.026649537,15439.19667,275.64513,0.119215045
2088,15883.60082,309.7252738,0.026482181,15450.08667,274.90822,0.119047689
2089,15894.79639,308.8950343,0.026387264,15460.97667,274.17131,0.118952772
2090,15905.99195,308.0647949,0.026362642,15471.86667,273.4344,0.11892815
2091,15917.18751,307.2338006,0.026405243,15482.75667,272.69682,0.118970751
2092,15928.38307,306.4028063,0.026520507,15493.64667,271.95924,0.119086015
2093,15939.57864,305.5718119,0.026706662,15504.53667,271.22166,0.11927217
2094,15950.7742,304.7408176,0.0269538,15515.42667,270.48408,0.119519308
2095,15961.96976,303.9098233,0.027254414,15526.31667,269.7465,0.119819922
2096,15973.16533,303.078829,0.027603396,15537.20667,269.00892,0.120168904
2097,15984.36089,302.2478347,0.027996261,15548.09667,268.27134,0.120561769
2098,15995.55645,301.4168404,0.028414169,15558.98667,267.53376,0.120979677
2099,16006.75201,300.5858461,0.028845592,15569.87667,266.79618,0.1214111
2100,16017.94758,299.7548517,0.029061237,15580.76667,266.0586,0.121626745
2101,15588.2566,299.7550771,0.028829705,15162.80333,266.0588,0.121395213
2102,15158.56563,299.7553024,0.02859784,14744.84,266.059,0.121163348
2103,14728.87466,299.7555277,0.028602948,14326.87667,266.0592,0.121168456
2104,14299.18368,299.7557531,0.028632057,13908.91333,266.0594,0.121197565
2105,13869.49272,299.7559784,0.028674737,13490.95,266.0596,0.121240245
2106,13439.80175,299.7562037,0.028723492,13072.98667,266.0598,0.121289
2107,13010.11077,299.7564291,0.02877362,12655.02333,266.06,0.121339128
2108,12580.4198,299.7566544,0.028821309,12237.06,266.0602,0.121386817
2109,12150.72884,299.7568797,0.028848838,11819.09667,266.0604,0.121414346
2110,11721.03786,299.757105,0.02884592,11401.13333,266.0606,0.121411428
2111,11413.55569,299.757274,0.028823218,11102.04333,266.06075,0.121388726
2112,11106.07352,299.757443,0.028788671,10802.95333,266.0609,0.121354179
2113,10798.59135,299.757612,0.028748672,10503.86333,266.06105,0.12131418
2114,10491.10918,299.757781,0.028710357,10204.77333,266.0612,0.121275865
2115,10183.62701,299.75795,0.02867297,9905.683333,266.06135,0.121238478
2116,9876.144843,299.758119,0.028630296,9606.593333,266.0615,0.121195804
2117,9568.662673,299.758288,0.028578273,9307.503333,266.06165,0.121143781
2118,9261.180503,299.758457,0.028515162,9008.413333,266.0618,0.12108067
2119,8953.698334,299.758626,0.028439526,8709.323333,266.06195,0.121005034
2120,8646.216164,299.758795,0.028335676,8410.233333,266.0621,0.120901184
2121,8521.93411,299.7589528,0.028194442,8289.343333,266.06224,0.12075995
2122,8397.652056,299.7591105,0.028027534,8168.453333,266.06238,0.120593042
2123,8273.370002,299.7592682,0.027843927,8047.563333,266.06252,0.120409435
2124,8149.087949,299.7594259,0.027650943,7926.673333,266.06266,0.120216451
2125,8024.805895,299.7595837,0.02745913,7805.783333,266.0628,0.120024638
2126,7900.523841,299.7597414,0.027267799,7684.893333,266.06294,0.119833307
2127,7776.241787,299.7598991,0.02706785,7564.003333,266.06308,0.119633358
2128,7651.959733,299.7600569,0.026855762,7443.113333,266.06322,0.11942127
2129,7527.677679,299.7602146,0.026630163,7322.223333,266.06336,0.119195671
2130,7403.395625,299.7603723,0.026389966,7201.333333,266.0635,0.118955474
2131,7307.385194,299.7605075,0.026120135,7107.943333,266.06362,0.118685643
2132,7211.374763,299.7606427,0.025812543,7014.553333,266.06374,0.118378051
2133,7115.364332,299.7607779,0.02547918,6921.163333,266.06386,0.118044688
2134,7019.353901,299.7609131,0.025129089,6827.773333,266.06398,0.117694597
2135,6923.34347,299.7610483,0.02476955,6734.383333,266.0641,0.117335058
2136,6827.333039,299.7611835,0.02440833,6640.993333,266.06422,0.116973838
2137,6731.322608,299.7613187,0.024045429,6547.603333,266.06434,0.116610937
2138,6635.312177,299.7614539,0.02367526,6454.213333,266.06446,0.116240768
2139,6539.301746,299.7615891,0.023294353,6360.823333,266.06458,0.115859861
2140,6443.291315,299.7617243,0.022901399,6267.433333,266.0647,0.115466907
2141,6344.670471,299.7618482,0.0224953,6171.504167,266.06481,0.115060808
2142,6246.049627,299.7619834,0.022061239,6075.575,266.06493,0.114626747
2143,6147.428782,299.7621074,0.021591162,5979.645833,266.06504,0.11415667
2144,6048.807939,299.7622313,0.021096921,5883.716667,266.06515,0.113662429
2145,5950.187094,299.7623552,0.020587485,5787.7875,266.06526,0.113152993
2146,5851.56625,299.7624904,0.020070024,5691.858333,266.06538,0.112635532
2147,5752.945406,299.7626144,0.019552217,5595.929167,266.06549,0.112117725
2148,5654.324561,299.7627383,0.019033972,5500,266.0656,0.11159948
2149,5787.766621,299.7827927,0.018509739,5629.8,266.0834,0.111075247
2150,5830.739488,299.7922565,0.018245575,5671.6,266.0918,0.110811083
2151,5854.487651,299.8026217,0.018245575,5694.7,266.101,0.110811083
2152,5860.518931,299.8121982,0.018245575,5700.566667,266.1095,0.110811083
2153,5852.979831,299.824028,0.018245575,5693.233333,266.12,0.110811083
2154,5836.016857,299.8383365,0.018245575,5676.733333,266.1327,0.110811083
2155,5812.268694,299.8543349,0.018245575,5653.633333,266.1469,0.110811083
2156,5776.457972,299.8737584,0.018245575,5618.8,266.16414,0.110811083
2157,5740.64725,299.8931818,0.018245575,5583.966667,266.18138,0.110811083
2158,5704.836527,299.9126052,0.018245575,5549.133333,266.19862,0.110811083
2159,5669.025805,299.9320287,0.018245575,5514.3,266.21586,0.110811083
2160,5633.215083,299.9514521,0.018245575,5479.466667,266.2331,0.110811083
2161,5590.656867,299.9738161,0.018245575,5438.07,266.25295,0.110811083
2162,5548.09865,299.9961801,0.018245575,5396.673333,266.2728,0.110811083
2163,5505.540435,300.0185441,0.018245575,5355.276667,266.29265,0.110811083
2164,5462.982218,300.0409081,0.018245575,5313.88,266.3125,0.110811083
2165,5420.424002,300.0632721,0.018245575,5272.483333,266.33235,0.110811083
2166,5377.865786,300.0856361,0.018245575,5231.086667,266.3522,0.110811083
2167,5335.30757,300.1080001,0.018245575,5189.69,266.37205,0.110811083
2168,5292.749353,300.1303641,0.018245575,5148.293333,266.3919,0.110811083
2169,5250.191138,300.1527281,0.018245575,5106.896667,266.41175,0.110811083
2170,5207.632921,300.1750921,0.018245575,5065.5,266.4316,0.110811083
2171,5168.806559,300.197749,0.018245575,5027.733333,266.45171,0.110811083
2172,5129.980197,300.220406,0.018245575,4989.966667,266.47182,0.110811083
2173,5091.153835,300.2430629,0.018245575,4952.2,266.49193,0.110811083
2174,5052.327473,300.2657198,0.018245575,4914.433333,266.51204,0.110811083
2175,5013.501111,300.2883767,0.018245575,4876.666667,266.53215,0.110811083
2176,4974.674749,300.3110337,0.018245575,4838.9,266.55226,0.110811083
2177,4935.848387,300.3336906,0.018245575,4801.133333,266.57237,0.110811083
2178,4897.022025,300.3563475,0.018245575,4763.366667,266.59248,0.110811083
2179,4858.195663,300.3790044,0.018245575,4725.6,266.61259,0.110811083
2180,4819.369301,300.4016614,0.018245575,4687.833333,266.6327,0.110811083
2181,4786.046482,300.4235522,0.018245575,4655.42,266.65213,0.110811083
2182,4752.723663,300.445443,0.018245575,4623.006667,266.67156,0.110811083
2183,4719.400843,300.4673338,0.018245575,4590.593333,266.69099,0.110811083
2184,4686.078024,300.4892246,0.018245575,4558.18,266.71042,0.110811083
2185,4652.755204,300.5111154,0.018245575,4525.766667,266.72985,0.110811083
2186,4619.432384,300.5330062,0.018245575,4493.353333,266.74928,0.110811083
2187,4586.109565,300.554897,0.018245575,4460.94,266.76871,0.110811083
2188,4552.786746,300.5767878,0.018245575,4428.526667,266.78814,0.110811083
2189,4519.463926,300.5986786,0.018245575,4396.113333,266.80757,0.110811083
2190,4486.141107,300.6205694,0.018245575,4363.7,266.827,0.110811083
2191,4457.756398,300.6414575,0.018245575,4336.09,266.84554,0.110811083
2192,4429.371688,300.6623456,0.018245575,4308.48,266.86408,0.110811083
2193,4400.986979,300.6832337,0.018245575,4280.87,266.88262,0.110811083
2194,4372.60227,300.7041217,0.018245575,4253.26,266.90116,0.110811083
2195,4344.217561,300.7250098,0.018245575,4225.65,266.9197,0.110811083
2196,4315.832851,300.7458979,0.018245575,4198.04,266.93824,0.110811083
2197,4287.448142,300.766786,0.018245575,4170.43,266.95678,0.110811083
2198,4259.063433,300.7876741,0.018245575,4142.82,266.97532,0.110811083
2199,4230.678723,300.8085622,0.018245575,4115.21,266.99386,0.110811083
2200,4202.294014,300.8294503,0.018245575,4087.6,267.0124,0.110811083
