Year,CP-Base CO2 (Mt CO2/yr),CP-Base CH4 (Mt CH4/yr),CP-Base Forcing|other agents (W/m2),RCP4.5 CO2 (Mt CO2/yr),RCP4.5 CH4 (Mt CH4/yr),RCP4.5 Forcing|other agents (W/m2)
2010,35788.68742,364.4254375,-0.339543918,34899.33333,322.5448,-0.258829305
2011,36049.75157,365.8900774,-0.328321578,35153.91,323.84112,-0.247606965
2012,36310.81572,367.3547173,-0.316703385,35408.48667,325.13744,-0.235988772
2013,36571.87987,368.8193572,-0.304843879,35663.06333,326.43376,-0.224129266
2014,36832.94402,370.2839971,-0.293199193,35917.64,327.73008,-0.21248458
2015,37094.00817,371.748637,-0.281536262,36172.21667,329.0264,-0.200821649
2016,37355.07231,373.2132769,-0.269836439,36426.79333,330.32272,-0.189121826
2017,37616.13647,374.6779168,-0.258088437,36681.37,331.61904,-0.177373824
2018,37877.20062,376.1425567,-0.246285343,36935.94667,332.91536,-0.16557073
2019,38138.26476,377.6071966,-0.234,37190.52333,334.21168,-0.153285387
2020,38495.77248,378,-0.234,37445.1,335.508,-0.141434492
2021,38856.63147,378.393212,-0.223712308,37796.11,335.85701,-0.1311468
2022,39217.49047,378.786424,-0.213769145,38147.12,336.20602,-0.121203637
2023,39578.34946,379.1796361,-0.203608645,38498.13,336.55503,-0.111043137
2024,39939.20845,379.5728481,-0.19363753,38849.14,336.90404,-0.101072022
2025,40300.06745,379.9660601,-0.18382892,39200.15,337.25305,-0.091263412
2026,40660.92644,380.3592721,-0.174169731,39551.16,337.60206,-0.081604223
2027,41021.78543,380.7524842,-0.164646549,39902.17,337.95107,-0.072081041
2028,41382.64443,381.1456962,-0.155254216,40253.18,338.30008,-0.062688708
2029,41743.50342,381.5389082,-0.145986771,40604.19,338.64909,-0.053421263
2030,42104.36241,381.9321202,-0.136535055,40955.2,338.9981,-0.043969547
2031,42242.74258,381.7717191,-0.126592194,41089.80333,338.85573,-0.034026686
2032,42381.12276,381.611318,-0.116936054,41224.40667,338.71336,-0.024370546
2033,42519.50292,381.4509169,-0.107970146,41359.01,338.57099,-0.015404638
2034,42657.88309,381.2905158,-0.099330549,41493.61333,338.42862,-0.006765041
2035,42796.26327,381.1301146,-0.091031875,41628.21667,338.28625,0.001533633
2036,42934.64343,380.9697135,-0.083085642,41762.82,338.14388,0.009479866
2037,43073.0236,380.8093124,-0.075502856,41897.42333,338.00151,0.017062652
2038,43211.40378,380.6489113,-0.068291444,42032.02667,337.85914,0.024274064
2039,43349.78394,380.4885101,-0.061460999,42166.63,337.71677,0.031104509
2040,43488.16411,380.328109,-0.054705803,42301.23333,337.5744,0.037859705
2041,43391.36207,379.6253725,-0.047711166,42207.07333,336.95066,0.044854342
2042,43294.56004,378.922636,-0.041162043,42112.91333,336.32692,0.051403465
2043,43197.758,378.2198995,-0.03533263,42018.75333,335.70318,0.057232878
2044,43100.95596,377.517163,-0.02976579,41924.59333,335.07944,0.062799718
2045,43004.15393,376.8144265,-0.024385924,41830.43333,334.4557,0.068179584
2046,42907.35189,376.11169,-0.019131829,41736.27333,333.83196,0.073433679
2047,42810.54985,375.4089535,-0.013957088,41642.11333,333.20822,0.07860842
2048,42713.74782,374.706217,-0.008828252,41547.95333,332.58448,0.083737256
2049,42616.94578,374.0034805,-0.003720531,41453.79333,331.96074,0.088844977
2050,42520.14374,373.3007439,0.000353883,41359.63333,331.337,0.092919391
2051,41881.35585,371.7541581,0.002378342,40738.28,329.96427,0.09494385
2052,41242.56796,370.2075722,0.003362561,40116.92667,328.59154,0.095928069
2053,40603.78006,368.6609863,0.004354194,39495.57333,327.21881,0.096919702
2054,39964.99217,367.1144004,0.005385618,38874.22,325.84608,0.097951126
2055,39326.20428,365.5678145,0.006455743,38252.86667,324.47335,0.099021251
2056,38687.41638,364.0212286,0.007586461,37631.51333,323.10062,0.100151969
2057,38048.62849,362.4746427,0.008794736,37010.16,321.72789,0.101360244
2058,37409.8406,360.9280568,0.010094405,36388.80667,320.35516,0.102659913
2059,36771.0527,359.3814709,0.011498964,35767.45333,318.98243,0.104064472
2060,36132.26481,357.834885,0.012762475,35146.1,317.6097,0.105327983
