,RF_AISM_VUB_BM08_R3.dat,RF_BISI_LBL1KM_1KM_BM08_R3.dat,RF_BISI_LBL1KM_BM08_R3.dat,RF_CISM_NCA_BM08_R3.dat,RF_FETI_VUB_BM08_R3.dat,RF_GRIS_LSC_BM08_R3.dat,RF_IMAU_VUB_BM08_R3.dat,RF_ISSM_JPL_BM08_R3.dat,RF_ISSM_UCI_BM08_R3.dat,RF_MALI_LAN_BM08_R3.dat,RF_PISM_AWI_BM08_R3.dat,RF_PISM_DMI_BM08_R3.dat,RF_PISM_PIK_BM08_R3.dat,RF_PISM_VUW_BM08_R3.dat,RF_PS3D_PSU_BM08_R3.dat,RF_SICO_UHO_BM08_R3.dat,RF_UA_UNN_BM08_R3.dat
2010,1.25E-05,6.21521E-05,0.000119228,2.0616E-05,6.875E-05,0.000189058,6.53375E-05,5.01443E-05,0.000104847,9.26139E-05,1.47805E-05,0.000265979,9.21223E-05,9.46434E-05,1.25E-05,4.52995E-05,0.000119266
2011,2.5E-05,5.76208E-05,9.2435E-05,1.98523E-05,0.00002125,-9.45291E-05,6.4575E-05,4.86248E-05,0.000117764,9.33966E-05,2.21813E-05,-0.000299507,6.13562E-05,6.51384E-05,3.75E-05,5.24521E-05,0.000118511
2012,5E-05,8.32583E-05,0.000125758,2.13794E-05,0.0001375,0.000189058,6.3825E-05,4.93843E-05,0.000126121,9.38224E-05,1.25701E-05,4.87618E-05,4.37629E-05,6.51384E-05,1.25E-05,2.67029E-05,0.000117759
2013,1.25E-05,6.66567E-05,3.33944E-05,1.90886E-05,1.25E-06,6.30194E-05,6.38125E-05,4.71054E-05,9.80087E-05,9.43551E-05,2.38848E-05,0.000152501,1.68135E-05,6.51384E-05,3.75E-05,3.62396E-05,0.000117009
2014,2.5E-05,7.13232E-05,0.000114623,2.13792E-05,-4E-05,0.000189058,6.45875E-05,4.71054E-05,0.000121562,9.83848E-05,3.21453E-05,-0.000951873,2.65329E-05,6.51384E-05,2.5E-05,4.24385E-05,0.000116262
2015,3.75E-05,5.19574E-05,8.60328E-05,2.29066E-05,3.75E-05,-0.000126039,6.305E-05,4.93843E-05,9.49707E-05,0.000100942,3.68288E-05,0.000562266,5.38401E-06,6.51384E-05,1.25E-05,5.57899E-05,0.000115518
2016,2.5E-05,9.25113E-05,7.43191E-05,1.90889E-05,0.00006375,0.000157548,6.30625E-05,4.93848E-05,0.000129919,0.000105069,2.09276E-05,0.000828593,7.16549E-05,5.34734E-05,2.5E-05,6.62804E-05,0.000114777
2017,2.5E-05,7.3286E-05,5.30238E-05,2.21429E-05,-4E-05,-0.000157548,6.30625E-05,4.78649E-05,0.000117003,0.000105687,2.83899E-05,0.000612684,4.38698E-05,5.34734E-05,2.5E-05,6.4373E-05,0.00011404
2018,3.75E-05,5.81209E-05,0.000108697,1.98523E-05,-3.75E-06,6.30194E-05,6.4575E-05,3.95076E-05,0.000126881,0.000104463,3.22966E-05,-0.000362748,1.76617E-05,5.34734E-05,0,5.8651E-05,0.000113306
2019,2.5E-05,-1.8274E-05,9.49862E-05,2.29066E-05,2.5E-06,-6.30194E-05,6.23E-05,5.01447E-05,0.000112445,0.00010331,1.13145E-05,-0.000108777,6.26813E-05,5.34734E-05,2.5E-05,5.00679E-05,0.000112577
