,RF_AISM_VUB_BM08_R3.dat,RF_BISI_LBL1KM_1KM_BM08_R3.dat,RF_BISI_LBL1KM_BM08_R3.dat,RF_CISM_NCA_BM08_R3.dat,RF_FETI_VUB_BM08_R3.dat,RF_GRIS_LSC_BM08_R3.dat,RF_IMAU_VUB_BM08_R3.dat,RF_ISSM_JPL_BM08_R3.dat,RF_ISSM_UCI_BM08_R3.dat,RF_MALI_LAN_BM08_R3.dat,RF_PISM_AWI_BM08_R3.dat,RF_PISM_DMI_BM08_R3.dat,RF_PISM_PIK_BM08_R3.dat,RF_PISM_VUW_BM08_R3.dat,RF_PS3D_PSU_BM08_R3.dat,RF_SICO_UHO_BM08_R3.dat,RF_UA_UNN_BM08_R3.dat
2020,2.5E-05,7.12699E-05,0.000110942,2.06158E-05,-4E-05,0.000126039,6.30625E-05,4.4826E-05,0.000126121,0.00010204,1.41623E-05,0.00072199,8.87334E-06,5.34734E-05,1.25E-05,5.19753E-05,0.000111852
2021,2.5E-05,0.000125004,0.000125978,2.21429E-05,0.00002,-0.000157548,6.30625E-05,4.93843E-05,0.000113964,9.92112E-05,4.03743E-06,-3.03942E-05,2.82479E-05,4.62078E-05,1.25E-05,5.34058E-05,0.000111132
2022,2.5E-05,2.92876E-05,6.92318E-05,2.44337E-05,-0.0000425,6.30194E-05,6.23E-05,4.78653E-05,0.000105607,9.84036E-05,9.29148E-06,-0.000423876,5.93586E-05,4.62078E-05,1.25E-05,4.95911E-05,0.000110417
2023,2.5E-05,0.000112615,9.94881E-05,2.29066E-05,2.5E-05,-0.000315097,6.23E-05,5.09038E-05,0.000131438,9.78294E-05,3.37619E-05,0.0008737,8.96642E-05,4.62078E-05,1.25E-05,4.81606E-05,0.000109707
2024,3.75E-05,3.3404E-05,9.23119E-05,1.83249E-05,-7.125E-05,6.30194E-05,6.00125E-05,4.86248E-05,0.000128401,9.58868E-05,4.14501E-05,0.000507783,7.97427E-05,4.62078E-05,1.25E-05,5.81741E-05,0.000109002
2025,3.75E-05,9.5274E-05,7.63885E-05,1.67983E-05,0.00013375,-0.000189058,6.30625E-05,4.63459E-05,0.000122322,9.64247E-05,2.26557E-05,-0.000314774,2.67803E-05,4.62078E-05,1.25E-05,4.00543E-05,0.000108304
2026,2.5E-05,4.36464E-05,7.84132E-05,1.83252E-05,-0.00009375,9.45291E-05,6.23E-05,5.01443E-05,0.000107886,9.71924E-05,2.61872E-05,-0.000698831,2.92055E-05,8.1862E-05,2.5E-05,5.00679E-05,0.000107611
2027,2.5E-05,8.68681E-06,7.01224E-05,1.6798E-05,0.0001125,6.30194E-05,6.15375E-05,4.93843E-05,0.000112444,9.58294E-05,1.71115E-05,-0.000544367,5.96399E-05,8.1862E-05,1.25E-05,5.29289E-05,0.000106925
2028,2.5E-05,3.45165E-05,0.000110683,2.06158E-05,-0.00002125,0.000189058,6.23E-05,4.4826E-05,0.000112445,9.7191E-05,3.85189E-05,0.000911787,7.51002E-05,8.1862E-05,2.5E-05,4.673E-05,0.000106245
2029,3.75E-05,6.64481E-05,0.000103475,1.90889E-05,4.75E-05,-6.30194E-05,6.15375E-05,4.93848E-05,0.000124601,9.87136E-05,3.94316E-05,0.000127058,0.000104737,8.1862E-05,2.5E-05,5.29289E-05,0.000105572
2030,2.5E-05,5.6606E-05,9.41453E-05,1.67983E-05,-1.75E-05,6.30194E-05,5.92625E-05,4.86248E-05,0.000115484,9.97881E-05,3.13808E-05,-0.000109758,8.48901E-05,8.1862E-05,2.5E-05,5.62668E-05,0.000104906
2031,3.75E-05,8.24543E-05,9.33851E-05,1.60346E-05,1.875E-05,3.15097E-05,5.54625E-05,4.93843E-05,0.000117764,9.8821E-05,2.54909E-05,0.000385217,0.000142032,8.09487E-05,5E-05,6.1512E-05,0.000104249
2032,3.75E-05,4.82732E-05,0.000120594,1.75613E-05,-7.5E-06,6.30194E-05,6.23E-05,4.4826E-05,0.000105606,9.81231E-05,3.02959E-05,7.65794E-05,0.000137675,8.09487E-05,3.75E-05,6.91414E-05,0.000103598
2033,2.5E-05,6.9594E-05,5.78803E-05,1.90889E-05,6.75E-05,0.000157548,0.000048625,4.93848E-05,0.000123842,9.69175E-05,3.94174E-05,0.000502872,0.000109207,8.09487E-05,5E-05,4.1008E-05,0.000102955
2034,3.75E-05,5.95324E-05,0.000143004,1.90889E-05,-0.00005125,0.000126039,5.31875E-05,5.09042E-05,7.74954E-05,9.79408E-05,2.47272E-05,0.000465241,4.65296E-05,8.09487E-05,3.75E-05,4.52995E-05,0.000102321
2035,3.75E-05,6.51718E-05,8.39358E-05,1.75615E-05,2.5E-06,3.15097E-05,5.24125E-05,4.78649E-05,0.000112445,9.65961E-05,8.22326E-05,4.48931E-05,2.39407E-05,8.09487E-05,5E-05,6.1512E-05,0.000101695
2036,2.5E-05,6.86213E-05,9.05591E-05,1.98525E-05,-1.875E-05,-3.15097E-05,5.31875E-05,4.02676E-05,0.000124601,9.51606E-05,8.72337E-05,0.000112094,5.13681E-05,5.68077E-05,2.5E-05,3.91006E-05,0.000101078
2037,2.5E-05,0.000103544,9.25479E-05,1.83249E-05,0.00021,6.30194E-05,0.000052425,5.16637E-05,0.000118523,9.24609E-05,3.69633E-05,0.000473082,6.07589E-05,5.68077E-05,5E-05,3.24249E-05,0.000100471
2038,3.75E-05,4.06698E-05,8.87604E-05,1.90889E-05,0.00010875,0.000157548,0.000052425,4.93843E-05,9.34517E-05,9.03947E-05,3.51422E-05,-0.000232958,2.85432E-05,5.68077E-05,5E-05,2.19345E-05,9.98716E-05
2039,3.75E-05,0.000109134,0.000127682,1.60346E-05,-5.5E-05,-9.45291E-05,0.000052425,4.63459E-05,0.000123081,8.81179E-05,6.37807E-06,0.000300232,-6.39385E-05,5.68077E-05,5E-05,2.67029E-05,9.92826E-05
2040,3.75E-05,4.10515E-05,8.89626E-05,1.60346E-05,-4.75E-05,0.000126039,5.01375E-05,4.4066E-05,9.26917E-05,8.66419E-05,5.40912E-06,0.000259374,-2.03236E-05,5.68077E-05,3.75E-05,4.05312E-05,9.87038E-05
2041,1.25E-05,7.44841E-05,0.000118372,1.52709E-05,-7.125E-05,3.15097E-05,5.01375E-05,4.93848E-05,0.000112444,8.42327E-05,2.88535E-05,-0.00015227,2.6458E-05,8.84038E-05,3.75E-05,4.673E-05,9.81347E-05
2042,5E-05,9.86295E-05,8.10175E-05,1.52711E-05,7E-05,0,4.55875E-05,3.64687E-05,7.21775E-05,8.34851E-05,3.55781E-05,-2.77585E-05,-2.06918E-05,8.84038E-05,3.75E-05,5.76973E-05,9.75761E-05
2043,1.25E-05,4.7201E-05,0.000125961,1.75615E-05,-5.875E-05,-0.000189058,0.000052425,4.78649E-05,9.64897E-05,8.33681E-05,3.53392E-05,-0.001149134,-6.34945E-06,8.84038E-05,3.75E-05,3.91006E-05,9.70287E-05
2044,2.5E-05,7.44627E-05,6.48612E-05,1.75617E-05,-2.5E-06,0.000252078,0.000048625,4.93843E-05,0.000105607,8.7904E-05,-1.95794E-06,0.000542179,-2.49725E-05,8.84038E-05,3.75E-05,1.81198E-05,9.64915E-05
2045,3.75E-05,6.44252E-05,0.00010829,1.83252E-05,-8.75E-06,-0.000126039,4.78625E-05,5.24237E-05,9.80087E-05,8.95779E-05,1.37853E-05,0.000414053,2.26883E-05,8.84038E-05,3.75E-05,2.71797E-05,9.59662E-05
2046,3.75E-05,9.89731E-05,0.000104844,1.52709E-05,9.875E-05,6.30194E-05,4.7875E-05,4.71054E-05,0.000120804,8.94357E-05,2.42945E-05,3.97602E-05,6.98825E-05,6.73755E-05,3.75E-05,3.8147E-05,9.54523E-05
2047,3.75E-05,6.94123E-05,9.59502E-05,1.67983E-05,0.00006375,0,4.7875E-05,5.16637E-05,0.000122322,9.04792E-05,1.73531E-06,0.000207906,0.000120087,6.73755E-05,2.5E-05,3.67165E-05,9.49504E-05
2048,2.5E-05,5.96852E-05,0.000101734,1.83252E-05,-7.875E-05,-3.15097E-05,4.6375E-05,5.31836E-05,9.64887E-05,8.87758E-05,2.33123E-05,0.000175452,0.000142972,6.73755E-05,5E-05,3.76701E-05,9.44598E-05
2049,2.5E-05,9.16366E-05,9.71675E-05,1.60346E-05,1.25E-06,-3.15097E-05,4.625E-05,4.1787E-05,0.000110926,9.07145E-05,1.9407E-05,1.42453E-05,0.00014213,6.73755E-05,3.75E-05,5.43594E-05,9.39824E-05
2050,3.75E-05,5.76847E-05,0.000108938,1.45074E-05,-8.125E-05,0.000157548,4.6375E-05,5.09038E-05,0.000119282,8.83789E-05,-3.2456E-06,0.000623359,6.68033E-05,6.73755E-05,3.75E-05,4.43459E-05,9.35173E-05
2051,2.5E-05,6.53982E-05,8.15613E-05,1.6798E-05,0.000095,-0.000126039,4.6375E-05,5.47031E-05,9.11728E-05,8.95179E-05,2.0421E-05,0.000637818,3.78637E-05,6.6112E-05,0.0000625,4.24385E-05,9.30651E-05
2052,3.75E-05,9.93994E-05,0.000112017,2.06158E-05,8.75E-06,6.30194E-05,4.5625E-05,5.47026E-05,0.000111684,9.00297E-05,1.03001E-05,0.000387646,-1.40144E-05,6.6112E-05,0.0000625,3.33786E-05,9.26259E-05
2053,3.75E-05,0.000106534,8.94785E-05,1.90889E-05,0.00012375,-3.15097E-05,4.55E-05,5.31836E-05,0.000115484,8.99972E-05,9.00154E-06,-0.000300334,2.66888E-05,6.6112E-05,0.0000625,3.8147E-05,9.22008E-05
2054,2.5E-05,8.20199E-05,0.00013478,1.75617E-05,-0.00002,-3.15097E-05,4.5625E-05,5.31832E-05,0.000108646,9.01186E-05,4.16534E-05,-2.81082E-05,6.26094E-05,6.6112E-05,3.75E-05,3.67165E-05,9.17887E-05
2055,2.5E-05,8.59171E-05,9.86521E-05,1.90886E-05,-5.75E-05,-9.45291E-05,4.6375E-05,5.31836E-05,0.000110166,9.04325E-05,-8.96379E-07,0.000537524,1.71672E-05,6.6112E-05,0.0000625,3.86238E-05,9.1391E-05
2056,1.25E-05,0.000132965,9.85337E-05,1.90889E-05,0.00011375,-3.15097E-05,4.475E-05,5.39431E-05,0.000120042,8.99417E-05,1.94492E-05,-0.000506271,3.76246E-06,1.91529E-05,5E-05,2.43187E-05,9.10072E-05
2057,2.5E-05,2.86789E-05,5.47056E-05,1.6798E-05,0.0001125,-9.45291E-05,4.4125E-05,5.31832E-05,9.87686E-05,9.11822E-05,3.43382E-05,0.000643767,1.45094E-05,1.91529E-05,5E-05,3.14713E-05,9.06386E-05
2058,2.5E-05,4.91414E-05,0.000169921,2.06158E-05,-3.875E-05,9.45291E-05,3.1875E-05,5.09042E-05,0.000102568,9.0438E-05,-2.42715E-06,-0.000126034,-1.5567E-05,1.91529E-05,3.75E-05,5.05447E-05,9.02844E-05
2059,2.5E-05,6.69541E-05,5.10145E-05,1.90889E-05,4.375E-05,-9.45291E-05,5.625E-05,5.24237E-05,0.00012916,9.32858E-05,1.94061E-05,0.000807644,-3.86578E-05,1.91529E-05,5E-05,3.62396E-05,8.99451E-05
2060,2.5E-05,9.9978E-05,0.00013155,1.98523E-05,9.25E-05,-3.15097E-05,4.325E-05,5.24237E-05,0.000117004,9.30114E-05,6.60683E-05,-0.000247953,-0.00010269,1.91529E-05,3.75E-05,3.24249E-05,8.96218E-05
2061,2.5E-05,0.000114795,7.25849E-05,1.52709E-05,-3.625E-05,-3.15097E-05,0.000043375,5.24237E-05,0.000119282,9.2551E-05,4.23625E-05,-0.000326508,-4.58121E-05,5.29089E-05,3.75E-05,3.19481E-05,8.93136E-05
2062,3.75E-05,5.95699E-05,0.000119394,2.06158E-05,-2.5E-05,0,4.325E-05,5.16637E-05,0.000115484,9.29868E-05,2.50953E-05,0.000248327,2.96083E-06,5.29089E-05,2.5E-05,3.86238E-05,8.90215E-05
2063,2.5E-05,8.1663E-05,9.92952E-05,1.67983E-05,1.125E-05,-9.45291E-05,4.7875E-05,5.47026E-05,0.000110166,9.23282E-05,2.00817E-05,0.000501786,-2.20277E-06,5.29089E-05,3.75E-05,3.67165E-05,8.87455E-05
2064,2.5E-05,9.75384E-05,8.75791E-05,1.6798E-05,1.375E-05,0.000220568,3.875E-05,4.93848E-05,0.000117002,9.04207E-05,1.87699E-05,-0.000867238,2.10156E-05,5.29089E-05,2.5E-05,4.673E-05,8.84865E-05
2065,2.5E-05,7.38469E-05,0.000104929,1.6798E-05,0.0001325,-0.000126039,4.1E-05,5.24237E-05,0.000101808,8.99586E-05,5.43326E-05,0.001317788,9.34202E-06,5.29089E-05,3.75E-05,1.43051E-05,8.82435E-05
2066,2.5E-05,9.99622E-05,9.03294E-05,1.83254E-05,5.375E-05,9.45291E-05,0.000043375,6.07809E-05,0.000110166,9.00348E-05,4.78923E-06,-0.000298598,-5.57098E-06,6.1415E-05,5E-05,2.57492E-05,8.80176E-05
2067,5E-05,9.35661E-05,9.90252E-05,1.90889E-05,-6.875E-05,0,4.175E-05,5.24237E-05,0.000101808,8.93822E-05,6.88383E-05,0.000279515,1.42186E-06,6.1415E-05,3.75E-05,3.14713E-05,8.78096E-05
2068,1.25E-05,5.79485E-05,8.31104E-05,1.52709E-05,3.875E-05,-0.000220568,4.25E-05,5.6982E-05,0.000117004,9.13911E-05,3.4296E-05,0.000194711,2.33029E-05,6.1415E-05,5E-05,3.38554E-05,8.76187E-05
2069,2.5E-05,0.000106339,9.47636E-05,1.6798E-05,1.25E-06,0.000189058,4.1875E-05,3.26699E-05,0.000107886,9.15742E-05,1.38803E-05,6.70217E-05,3.29114E-05,6.1415E-05,5E-05,4.57764E-05,8.74457E-05
2070,3.75E-05,6.98926E-05,0.000153974,1.52709E-05,-5.625E-05,-0.000157548,4.1E-05,5.85015E-05,0.000107126,8.96765E-05,-1.46631E-05,-1.23986E-05,-5.65248E-06,6.1415E-05,5E-05,3.95775E-05,8.7291E-05
2071,3.75E-05,0.000110148,5.78344E-05,1.75617E-05,1.875E-05,-9.45291E-05,4.175E-05,5.16642E-05,9.72487E-05,8.96481E-05,3.72229E-05,0.000637058,2.46227E-05,8.64222E-05,3.75E-05,3.52859E-05,8.71546E-05
2072,3.75E-05,9.35776E-05,0.000113918,1.60346E-05,2.5E-05,-9.45291E-05,3.95E-05,4.93843E-05,0.000107886,8.78613E-05,4.61607E-05,-0.000186852,3.96192E-05,8.64222E-05,3.75E-05,3.76701E-05,8.70367E-05
2073,1.25E-05,8.29991E-05,9.34694E-05,1.98521E-05,-0.00012375,-0.000315097,4.1875E-05,5.7742E-05,0.000115484,8.83925E-05,4.71628E-05,3.01043E-05,2.79732E-05,8.64222E-05,3.75E-05,3.62396E-05,8.69378E-05
2074,3.75E-05,6.13782E-05,0.000120839,1.98525E-05,0.00016,-0.000126039,4.025E-05,5.16637E-05,0.000102568,8.77607E-05,3.76786E-05,0.000412466,-4.52005E-05,8.64222E-05,3.75E-05,4.1008E-05,8.68584E-05
2075,2.5E-05,0.000100418,0.000127786,1.90886E-05,-6.75E-05,-0.000409626,4.025E-05,4.71054E-05,0.000107886,8.7996E-05,2.82649E-05,-4.5504E-05,-1.97008E-05,8.64222E-05,3.75E-05,2.00272E-05,8.67979E-05
2076,3.75E-05,0.000112316,0.000119851,1.98525E-05,-7E-05,9.45291E-05,4.025E-05,5.69825E-05,0.000108646,8.6459E-05,3.64642E-05,-1.82347E-05,6.04791E-06,0.000110393,3.75E-05,3.33786E-05,8.67578E-05
2077,2.5E-05,7.747E-05,9.45847E-05,1.98521E-05,9.625E-05,0.000189058,4.175E-05,5.16637E-05,0.000116244,8.60314E-05,5.93031E-05,-0.000274595,1.39861E-05,0.000110393,2.5E-05,3.95775E-05,8.67374E-05
2078,2.5E-05,7.87692E-05,9.84419E-05,1.90886E-05,7.75E-05,-0.000189058,4.025E-05,6.23004E-05,9.19309E-05,8.79573E-05,3.94955E-05,-7.968E-05,5.51223E-05,0.000110393,5E-05,2.90871E-05,8.67374E-05
2079,2.5E-05,0.000125409,0.000105494,1.75617E-05,-6.5E-05,-0.000220568,3.5E-05,5.39431E-05,0.000117004,8.79124E-05,1.7519E-05,6.706E-05,8.5864E-05,0.000110393,2.5E-05,3.86238E-05,8.67578E-05
2080,2.5E-05,7.06609E-05,0.000110076,1.98525E-05,0.00002125,-0.000126039,4.4E-05,4.1787E-05,0.000107126,8.65755E-05,2.66045E-05,0.000828289,5.23927E-05,0.000110393,2.5E-05,2.86102E-05,8.67994E-05
2081,3.75E-05,8.61242E-05,0.000109305,2.06158E-05,4.5E-05,-6.30194E-05,3.9625E-05,5.6982E-05,0.000111684,8.63124E-05,2.3625E-05,-0.000578414,7.78082E-06,0.000133941,5E-05,1.90735E-05,8.68618E-05
2082,2.5E-05,8.20261E-05,0.000112596,1.75617E-05,-7.625E-05,9.45291E-05,3.7875E-05,5.8502E-05,0.000109406,8.6582E-05,1.74975E-05,-0.000309871,2.18181E-05,0.000133941,2.5E-05,1.4782E-05,8.6946E-05
2083,2.5E-05,0.000136988,0.000109495,2.06158E-05,0.0001025,-0.000126039,3.875E-05,6.15409E-05,0.000110926,8.52329E-05,2.39939E-05,0.000700381,4.27245E-05,0.000133941,2.5E-05,2.47955E-05,8.70512E-05
2084,2.5E-05,0.000114803,8.23765E-05,1.83252E-05,3.625E-05,0,3.875E-05,4.4066E-05,0.000112444,8.40301E-05,3.10751E-05,-0.000165977,9.88349E-06,0.000133941,2.5E-05,4.48227E-05,8.71791E-05
2085,2.5E-05,5.70369E-05,0.000101581,1.83249E-05,4.375E-05,-0.000220568,0.0000365,5.7742E-05,0.000106366,8.56511E-05,1.9756E-05,0.000385067,2.59609E-06,0.000133941,1.25E-05,2.86102E-05,8.73288E-05
2086,2.5E-05,8.0228E-05,9.84001E-05,1.37442E-05,-2.375E-05,6.30194E-05,3.95E-05,4.71054E-05,0.000114724,8.48025E-05,1.43878E-05,0.000518998,2.00547E-05,0.000107609,1.25E-05,3.76701E-05,8.75012E-05
2087,2.5E-05,0.000207763,9.81573E-05,1.67978E-05,0.00012,-0.000220568,4.2625E-05,5.8502E-05,9.95286E-05,8.51855E-05,6.16193E-06,0.000425824,2.13645E-05,0.000107609,2.5E-05,3.24249E-05,8.76965E-05
2088,2.5E-05,3.08826E-07,0.000103503,1.75619E-05,7.75E-05,6.30194E-05,4.175E-05,5.9261E-05,7.82572E-05,8.40227E-05,-1.24572E-05,-0.000117416,2.17625E-05,0.000107609,2.5E-05,1.85966E-05,8.79143E-05
2089,3.75E-05,0.000206142,0.000105364,1.45072E-05,8.625E-05,-6.30194E-05,3.875E-05,6.60997E-05,9.95286E-05,8.38911E-05,3.69637E-05,0.000465093,-2.26055E-06,0.000107609,2.5E-05,3.24249E-05,8.81559E-05
2090,1.25E-05,-2.07257E-05,7.26717E-05,1.52714E-05,3.625E-05,6.30194E-05,3.725E-05,4.25465E-05,0.000114724,8.44533E-05,-2.03724E-05,-1.92052E-05,2.20161E-05,0.000107609,1.25E-05,2.86102E-05,8.84212E-05
2091,2.5E-05,0.000128292,9.88301E-05,1.75615E-05,7.5E-06,-9.45291E-05,3.4125E-05,6.98986E-05,9.57288E-05,8.34464E-05,-1.76269E-05,-0.000507083,-5.30582E-05,9.71745E-05,1.25E-05,2.6226E-05,8.87099E-05
2092,2.5E-05,9.69753E-05,9.52073E-05,1.60346E-05,-0.0000425,-3.15097E-05,3.5E-05,4.63454E-05,0.000122322,8.42991E-05,1.62512E-05,0.000597377,-4.05734E-05,9.71745E-05,2.5E-05,3.14713E-05,8.90231E-05
2093,2.5E-05,6.74304E-05,0.000125152,1.22166E-05,0.00001,-6.30194E-05,3.875E-05,5.62221E-05,0.000112446,8.3131E-05,2.39633E-05,0.000498365,4.33931E-05,9.71745E-05,1.25E-05,2.6226E-05,8.93606E-05
2094,1.25E-05,0.000108706,4.22558E-05,1.45077E-05,-8.625E-05,3.15097E-05,3.6375E-05,5.31832E-05,9.57306E-05,8.30629E-05,1.44184E-05,-0.00017585,6.19074E-05,9.71745E-05,2.5E-05,2.71797E-05,8.97229E-05
2095,5E-05,0.00010391,0.000136787,1.67978E-05,3.5E-05,-0.000189058,3.875E-05,4.33065E-05,0.000120802,8.36233E-05,-1.68439E-05,0.000445352,2.8888E-05,9.71745E-05,2.5E-05,3.33786E-05,9.01099E-05
2096,2.5E-05,0.000164443,0.000166385,1.60346E-05,0.00005125,0.000126039,3.425E-05,5.92619E-05,0.000107126,8.32193E-05,4.75385E-05,-0.000362196,5.99051E-05,9.79308E-05,2.5E-05,3.14713E-05,9.05223E-05
2097,1.25E-05,5.99606E-05,3.18376E-05,1.60346E-05,4.75E-05,-0.000220568,0.0000365,5.6982E-05,0.000107886,8.31081E-05,1.93386E-05,0.001156306,6.79497E-05,9.79308E-05,2.5E-05,4.52995E-05,9.09606E-05
2098,2.5E-05,7.8523E-05,0.000110105,1.67983E-05,5E-05,3.15097E-05,3.8E-05,6.68587E-05,0.000123842,8.32036E-05,2.86339E-05,3.0519E-05,6.84745E-05,9.79308E-05,2.5E-05,4.05312E-05,9.14241E-05
2099,5E-05,7.52201E-05,0.000107787,1.67978E-05,-5.875E-05,-0.000126039,3.6375E-05,5.6223E-05,0.000117002,8.2717E-05,2.49623E-05,-0.001194751,8.37995E-05,9.79308E-05,2.5E-05,4.00543E-05,9.19138E-05
2100,1.7736E-05,0.000108524,9.7826E-05,1.67721E-05,3.91143E-05,0.000101827,3.61349E-05,5.82959E-05,0.000116391,8.24179E-05,2.33255E-05,0.000721868,9.02442E-05,9.81239E-05,2.48373E-05,3.88033E-05,9.62414E-05
2101,3.2053E-05,9.52192E-05,0.000100984,1.68489E-05,1.79688E-05,-2.58144E-05,3.58946E-05,5.85862E-05,0.000117438,8.20841E-05,2.3448E-05,0.000127558,8.01033E-05,9.83229E-05,2.49008E-05,3.8337E-05,0.000103747
2102,2.51462E-05,0.000102163,9.9859E-05,1.69259E-05,1.79705E-05,7.29074E-06,3.56546E-05,5.88763E-05,0.00011811,8.17157E-05,2.35706E-05,0.00012757,5.24492E-05,9.85235E-05,2.49646E-05,3.85274E-05,0.00010429
2103,2.79098E-05,0.00010031,0.000100132,1.70024E-05,1.79663E-05,-5.81328E-05,3.54121E-05,5.91662E-05,0.000118781,8.1312E-05,2.36906E-05,0.00012754,3.56282E-05,9.87196E-05,2.5026E-05,3.87153E-05,0.000104834
2104,2.62669E-05,0.000102278,9.99485E-05,1.70793E-05,1.7973E-05,3.65721E-05,3.51699E-05,5.94568E-05,0.000119454,8.08736E-05,2.3814E-05,0.000127595,4.31858E-05,9.89178E-05,2.50902E-05,3.89054E-05,0.000105377
2105,2.66323E-05,0.000102586,9.99154E-05,1.71562E-05,1.7971E-05,1.83044E-05,3.49271E-05,5.97473E-05,0.000120127,8.04003E-05,2.39369E-05,0.000127574,4.88157E-05,9.91158E-05,2.51539E-05,3.90953E-05,0.00010592
2106,2.60818E-05,0.000103614,9.98313E-05,1.72329E-05,1.7966E-05,6.17153E-05,3.46846E-05,6.00374E-05,0.000120799,7.98924E-05,2.40587E-05,0.000127531,4.2261E-05,9.93152E-05,2.52169E-05,3.92847E-05,0.000106463
2107,2.59486E-05,0.00010433,9.97636E-05,1.73096E-05,1.79685E-05,-1.7429E-05,3.44401E-05,6.03279E-05,0.000121471,7.93496E-05,2.41805E-05,0.000127553,4.3082E-05,9.95125E-05,2.52794E-05,3.94742E-05,0.000107006
2108,2.56254E-05,0.000105182,9.96905E-05,1.73862E-05,1.79694E-05,6.45742E-05,3.41967E-05,6.06172E-05,0.000122141,7.87719E-05,2.42999E-05,0.000127551,9.84757E-06,9.97115E-05,2.53405E-05,3.96623E-05,0.000107549
2109,2.53892E-05,0.000105976,9.96205E-05,1.74629E-05,1.7972E-05,-1.60582E-05,3.39516E-05,6.09076E-05,0.000122814,7.81596E-05,2.44222E-05,0.000127572,2.27118E-05,9.99085E-05,2.54036E-05,3.98511E-05,0.000108092
2110,2.51131E-05,0.000106794,9.95489E-05,1.75397E-05,1.7972E-05,0.000107166,3.37051E-05,6.11981E-05,0.000123487,7.75121E-05,2.45455E-05,0.000127577,2.09428E-05,0.000100104,2.54674E-05,4.00413E-05,0.000108635
2111,2.48549E-05,0.000107601,9.94782E-05,1.76168E-05,1.79705E-05,-6.68348E-05,3.34611E-05,6.14885E-05,0.00012416,7.68299E-05,2.46685E-05,0.000127574,1.43525E-05,0.000100307,2.55319E-05,4.02317E-05,0.000109179
