Country code,1990 temp,Hadley,BCM,IPSL,HADCM
HND,23.125708,-0.76141085,-0.056703377,-0.35853701,-0.131781006
HRV,11.0776434,-1.208661968,-0.436013762,-0.302041117,-0.185016886
HTI,25.64251143,-1.410739749,-0.104862128,-0.336296929,-0.137284342
HUN,10.24351017,-1.154125976,-0.442843836,-0.3143809,0.052984989
IDN,26.40413996,-0.032204076,-0.003625876,-0.11855772,-0.074598959
IND,25.6710608,-0.287772692,0.151433198,-0.16470657,-0.276576647
IRL,9.405949896,-3.088183963,-0.742091606,-0.301490275,-0.594436759
IRN,15.45933354,-1.747567879,-0.239515905,0.078287245,-0.009708124
IRQ,22.80326824,-1.943775609,-0.157855339,-0.051822535,-0.10773407
ISL,3.063431279,-5.128745678,-0.610573448,-0.010573171,-0.383829549
ISR,20.25187313,-1.786020082,-0.037245274,-0.074938456,-0.682122803
ITA,12.99733872,-1.357105289,-0.434239706,-0.278367615,-0.323193359
JAM,25.44799377,-1.729370458,0,0,0
JOR,18.78496504,-1.871208184,-0.124227566,-0.148142384,-0.214987296
JPN,14.07627223,-1.538560013,-0.408133748,-0.160753716,0.149167001
KAZ,6.680335785,-2.023789577,-0.21724021,0.153085551,0.115301103
KEN,21.36482087,-0.125975686,0.072404371,-0.147207777,0.080624457
KGZ,3.640207234,-1.758034818,-0.155224479,-0.007801929,-0.093688788
KHM,28.14205025,0.07558953,-0.060936433,-0.157045782,0.05642613
KNA,25.85382882,-2.283816642,0,0,0
KOR,12.07082412,-1.130204033,-0.246059176,-0.077552694,-0.157697347
KWT,26.11473537,-1.85675914,-0.180276616,-0.027160645,-0.115303548
LAO,24.62607437,-0.251434636,-0.097265867,-0.206586711,0.045885746
LBN,16.43715362,-1.748282749,-0.048753993,-0.195222982,-0.143719482
LBR,25.22141342,0.098093609,-0.029769489,-0.132697405,-0.079860142
LBY,20.77832022,-1.564440897,-0.159631877,-0.141500467,-0.417582653
LIE,5.131745828,-1.474430038,0,0,0
LKA,26.3118283,0.162430355,0.030555757,-0.131819831,-0.037665812
LSO,12.98610207,-0.241080839,-0.023782476,-0.044111125,0.173221842
LTU,6.538800486,-1.164157336,-0.187036773,-0.06321818,0.093424733
LUX,9.120592206,-1.517926675,-0.492645741,-0.383791097,-0.378120931
LVA,5.991638343,-1.00659918,-0.191039841,-0.035483353,0.297712538
MAR,17.32594902,-1.748669987,-0.435633525,-0.278229523,0.006161951
MDA,9.884768855,-1.495042092,-0.177584796,-0.180503676,0.158017985
MDG,21.12342656,-0.073241016,0.202940108,-0.222006904,0.019768888
MEX,19.80819639,-0.703005381,-0.009284099,-0.162862411,0.11575543
MKD,10.14391029,-1.131378213,-0.423398685,-0.239151001,0.118182373
MLI,27.99984965,-0.64865743,-0.327255784,-0.123839153,-0.061309757
MMR,25.95822409,-0.318559159,-0.091726034,-0.251183375,0.003967354
MNE,9.508756205,-1.118533563,-0.467664579,-0.311587931,0.028381551
MNG,-1.128422361,-1.250481412,-0.151604664,-0.155697199,-0.213178075
MOZ,24.39337374,-0.182672135,0.066709314,-0.079139389,-0.33095869
MRT,28.29557653,-1.266384448,-0.345724477,-0.209221084,-0.072804876
MTQ,26.37419235,-0.267095126,-0.007033221,-0.405309041,-0.209596761
MUS,22.17274702,0.176449366,0,0,0
MWI,22.69218401,-0.26928343,0.060004718,-0.0520283,-0.430033569
MYS,26.93532482,-0.07331217,-0.043707661,-0.131713141,-0.006849307
NAM,21.94528001,-0.035494083,-0.111655975,-0.081041617,-0.149128461
NCL,21.3126866,0.203290664,0,0,0
NER,28.85274177,-1.034446361,-0.281371156,-0.087936744,-0.29661668
NGA,27.01777304,-0.110642995,-0.19064784,-0.13388526,-0.018801371
NIC,25.33353936,-1.096709126,-0.018308904,-0.354171753,-0.167681207
NLD,9.652064949,-1.940211956,-0.452993666,-0.348498942,-0.317372233
NOR,3.555028826,-2.730811666,-0.866356632,-0.199044025,0.106336644
NPL,19.84767401,-0.989074324,-0.132326766,-0.232824029,-0.242533366
NRU,26.8484055,0.147250547,0,0,0
NZL,12.23356561,0.361238133,0.030457291,-0.161142415,0.140668327
OMN,25.56366402,-0.907778223,-0.155421277,-0.115305426,-0.126690283
PAK,23.43998959,-1.223362194,-0.195924008,-0.026822891,-0.116585439
PAN,25.70708824,-0.399453381,0.022076645,-0.235287882,-0.256503499
PER,18.15848666,-0.139576776,0.080540129,-0.10322031,-0.335034436
PHL,25.94157235,-0.210963828,-0.036182409,-0.113469781,0.018089803
PLW,27.64902363,0.203290664,0,0,0
PNG,23.84822754,0.037277022,0.016567704,-0.111281186,-0.153687919
POL,8.089495694,-1.24766624,-0.391464906,-0.210402971,-0.007202744
PRI,25.0370658,-2.42882445,0,0,0
PRK,8.280079239,-1.195585965,-0.244941407,-0.073991055,-0.016290114
PRT,14.96838086,-2.077480145,-0.566142266,-0.301289311,-0.034969754
PRY,23.25301434,0.593864279,-0.038504415,-0.125669691,-0.144639305
PSE,19.86373659,-1.783863335,-0.016466904,-0.078026326,-1.085180664
QAT,27.63737665,-1.544406667,-0.100436306,-0.141796366,-0.202616374
REU,16.00842782,-2.42882445,0,0,0
ROU,9.561961967,-1.302698731,-0.311397458,-0.278363467,0.123137958
RUS,4.005175443,-1.486756552,-0.384169251,-0.39993044,0.231235313
RWA,19.24926703,0.028003748,0.013901838,-0.113603719,-0.108235677
SAU,25.5169081,-1.592492908,-0.120309398,-0.184136261,-0.164252983
SDN,29.04548706,-0.899548889,-0.139953966,-0.147293667,-0.077505454
SEN,26.89901267,-0.240688746,-0.136610205,-0.186817152,-0.153976373
SLB,24.80840613,0.021801711,0,0,0
SLE,25.74974401,0.034178343,-0.01799984,-0.150365484,-0.07868943
SLV,24.59886609,-0.23712983,0.031614876,-0.42860616,-0.114174398
SMR,10.8184977,-1.37033335,0,0,0
SOM,27.10975065,-0.234178817,0.041801675,-0.203759266,-0.118798902
SRB,11.07933622,-1.118533563,-0.467664579,-0.311587931,0.028381551
SSD,28.02455616,-0.899548889,-0.139953966,-0.147293667,-0.077505454
STP,21.21031311,0.349263204,0,0,0
SUR,27.28168965,-1.005759365,0.004945501,-0.333119554,-0.229919903
SVK,7.857607955,-1.185361371,-0.438226663,-0.291005792,0.057118734
SVN,9.130380924,-1.220663398,-0.433619992,-0.300676473,-0.110096232
SWE,5.402999684,-1.883067153,-0.444976287,-0.14102814,0.063620531
SYR,17.84911499,-1.840988362,-0.108049885,-0.204995524,-0.059116109
TCD,28.40883883,-0.987949389,-0.269243734,-0.122359154,-0.158460686
TGO,27.00341977,-0.156853175,-0.085342903,-0.174964803,-0.018690592
THA,27.53518655,-0.148578844,-0.054692026,-0.185833207,0.066792806
TJK,10.97066635,-1.706729031,-0.199409527,0.034817818,-0.108858392
TKM,15.49120702,-1.877033699,-0.269872646,0.096375051,0.115075434
TLS,24.53589756,-0.032204076,0.024408468,-0.080524699,-0.021335856
TON,22.11017996,0.265326609,0,0,0
TTO,26.94566621,-2.489701716,0,0,0
TUN,18.33590726,-1.445188897,-0.413294478,-0.196768443,-0.211750285
TUR,12.8956257,-1.863039625,-0.100166441,-0.140468884,0.070494241
TUV,25.06482114,0.074587392,0,0,0
TWN,20.69154644,-0.605884433,-0.223376147,-0.092844306,0.029660373
TZA,23.25877129,-0.057132846,0.077392506,-0.135756455,-0.013127593
UGA,23.08492494,-0.124954756,0.118494331,-0.105028377,-0.069687616
UKR,8.463900957,-1.67418516,-0.092275868,-0.07258513,0.214865548
URY,17.66153952,0.504741119,0.033730097,-0.048579915,-0.162105419
USA,14.0270026,-0.801663863,-0.032925417,-0.293479235,0.334589113
UZB,13.26022288,-2.10638897,-0.252720654,0.146610189,0.117206787
VEN,25.15453136,0.050194366,0.039051824,-0.244766793,-0.350823501
VNM,25.96461174,-0.260085724,-0.084826417,-0.181018172,0.015675582
VUT,23.30367626,0.183992798,-0.066863759,-0.012671916,0.019258626
WSM,25.831362,0.021537572,0,0,0
YEM,20.66586654,-0.552078161,-0.078834641,-0.068679649,-0.159885661
ZAF,18.57061269,-0.268879588,-0.075493271,-0.016850015,0.035302986
ZMB,22.43532874,-0.267095126,0.002782896,-0.018085432,-0.368296687
ZWE,21.28186388,-0.443457081,-0.04023255,0.029767894,-0.398558461
