ISO,low,mode,high
AFG,0,0,0
AGO,0.002135933,0.006218422,0.01030091
ALB,0.00365333,0.015250329,0.026847329
AND,0,0,0
ARE,0.00051686,0.000766669,0.001016478
ARG,0.000725802,0.001234135,0.001742468
ARM,0,0,0
ATG,0.103210791,0.256484816,0.40975884
AUS,0.024767267,0.041392057,0.058016847
AUT,0,0,0
AZE,0,0,0
BDI,0,0,0
BEL,0.001407606,0.01320897,0.025010335
BEN,0.000318379,0.000874749,0.001431118
BFA,0,0,0
BGD,0.005652135,0.016503043,0.027353952
BGR,0.000372246,0.000623099,0.000873953
BHR,0.006114243,0.079028326,0.151942409
BHS,0.093072391,0.1301171,0.167161808
BIH,1.1212E-05,1.53451E-05,1.94781E-05
BLR,0,0,0
BLZ,0.031758666,0.041523524,0.051288382
BMU,0.008891813,0.086273014,0.163654215
BOL,0,0,0
BRA,0.005261594,0.011628146,0.017994699
BRB,0.014664987,0.031544746,0.048424506
BRN,0,0,0
BTN,0,0,0
BWA,0,0,0
CAF,0,0,0
CAN,0.001246748,0.004660619,0.008074491
CHE,0,0,0
CHL,0.00294568,0.006079991,0.009214303
CHN,0.001150383,0.005689677,0.01022897
CIV,0.00018438,0.000249321,0.000314261
CMR,0.007248844,0.043717979,0.080187114
COD,5.74294E-05,6.40486E-05,7.06677E-05
COG,0.004290059,0.006669275,0.009048491
COL,0.003754945,0.008481158,0.013207372
COM,0.004008746,0.006522389,0.009036033
CPV,0.013505648,0.073345539,0.133185431
CRI,0.001415379,0.003459179,0.005502979
CUB,0.015679557,0.029437482,0.043195407
CYP,0.004713588,0.007262809,0.009812029
CZE,0,0,0
DEU,0.001684625,0.005213913,0.008743201
DJI,0.006847916,0.012700968,0.018554021
DMA,0.118859786,0.250713423,0.38256706
DNK,0.009830609,0.034383379,0.05893615
DOM,0.001473265,0.004337073,0.00720088
DZA,0.001849884,0.005481361,0.009112838
ECU,0.006464419,0.014608991,0.022753563
EGY,0.002068048,0.006024335,0.009980621
ERI,0.000387386,0.004051977,0.007716568
ESH,0,0,0
ESP,0.001153295,0.007776397,0.014399499
EST,0.002470638,0.002981449,0.003492259
ETH,0,0,0
FIN,0.002312163,0.004016854,0.005721544
FJI,0.024135078,0.05953632,0.094937562
FRA,0.001278482,0.005172054,0.009065627
FSM,0.063749527,1.21919607,2.374642613
GAB,0.007737773,0.010490303,0.013242832
GBR,0.003408385,0.016632451,0.029856517
GEO,0.00577613,0.007611094,0.009446059
GHA,7.00894E-05,0.001865595,0.003661101
GIN,0.000160089,0.000233992,0.000307894
GLP,0.019148463,0.048619276,0.078090089
GMB,0.00714952,0.049646554,0.092143587
GNB,0.006323915,0.017106,0.027888085
GNQ,0.000100246,0.000383014,0.000665781
GRC,0.00739898,0.009026672,0.010654365
GRD,0.059595264,0.108266101,0.156936938
GTM,0.000652536,0.00126548,0.001878424
GUF,0.033998892,0.050023994,0.066049097
GUY,0.038449334,0.054719186,0.070989038
HKG,0.000438379,0.011142938,0.021847498
HND,0.002853701,0.004722689,0.006591676
HRV,0.001631339,0.00261839,0.003605441
HTI,0.002978853,0.020576517,0.038174181
HUN,0,0,0
IDN,0.007669309,0.017420764,0.027172218
IND,0.000867683,0.002769422,0.004671161
IRL,0.005867296,0.015807164,0.025747032
IRN,0,0,0
IRQ,0.000337898,0.000517995,0.000698092
ISL,0.002003746,0.002427635,0.002851525
ISR,0.000190526,0.001287768,0.00238501
ITA,0.001082504,0.004251136,0.007419768
JAM,0.003132565,0.075128921,0.147125277
JOR,1.12046E-06,1.98584E-05,3.85963E-05
JPN,0.001997557,0.008158553,0.01431955
KAZ,0,0,0
KEN,0.00131968,0.003504776,0.005689872
KGZ,0,0,0
KHM,0.000330528,0.001086878,0.001843227
KNA,0,0,0
KOR,0.002106724,0.007651187,0.013195651
KWT,0.0025905,0.005869838,0.009149177
LAO,0,0,0
LBN,0.000999652,0.023232822,0.045465992
LBR,0.000226445,0.000290024,0.000353602
LBY,0.001171184,0.002518439,0.003865694
LIE,0,0,0
LKA,0.005432546,0.015006821,0.024581096
LSO,0,0,0
LTU,0.001371179,0.003445742,0.005520306
LUX,0,0,0
LVA,0.005695712,0.007994222,0.010292732
MAR,0.003481947,0.016521046,0.029560146
MDA,0,0,0
MDG,0.000402026,0.001579057,0.002756087
MEX,0.003539589,0.00582043,0.00810127
MKD,0,0,0
MLI,0,0,0
MMR,0.001896805,0.004896499,0.007896193
MNE,0.006519165,0.008019393,0.009519621
MNG,0,0,0
MOZ,0.009970949,0.019507142,0.029043336
MRT,0.000606863,0.001483609,0.002360355
MTQ,0.010966549,0.022729063,0.034491577
MUS,5.22184E-05,0.00095699,0.001861761
MWI,0,0,0
MYS,0.010467717,0.023061365,0.035655012
NAM,7.57421E-05,0.000190329,0.000304916
NCL,0.010137247,0.014573042,0.019008836
NER,0,0,0
NGA,0.000954131,0.003810398,0.006666665
NIC,0.000855324,0.001244323,0.001633322
NLD,0.003957827,0.178028046,0.352098265
NOR,0.003949582,0.007011276,0.010072969
NPL,0,0,0
NRU,0.059324379,0.140477446,0.221630513
NZL,0.021885563,0.046749846,0.071614129
OMN,0.001690383,0.006378991,0.011067599
PAK,0.000351422,0.000611659,0.000871896
PAN,0.006730694,0.009217437,0.011704179
PER,0.001570911,0.005476268,0.009381625
PHL,0.005995458,0.037262137,0.068528817
PLW,0.066937831,0.108254531,0.149571232
PNG,0.005138293,0.010125252,0.015112212
POL,0.000793,0.001556668,0.002320336
PRI,0.002919298,0.026664905,0.050410512
PRK,0.004037385,0.013017685,0.021997986
PRT,0.002714168,0.007832341,0.012950514
PRY,0,0,0
PSE,0,0,0
QAT,0.001926388,0.002394829,0.00286327
REU,0.000540671,0.001092951,0.001645231
ROU,0.002386904,0.002659193,0.002931482
RUS,0.000922966,0.0022212,0.003519434
RWA,0,0,0
SAU,0.000342474,0.000584152,0.000825829
SDN,1.14639E-05,0.000364811,0.000718158
SEN,0.004249771,0.033284099,0.062318427
SLB,0.020681993,0.047880303,0.075078612
SLE,0.001571964,0.058569932,0.1155679
SLV,0.001737208,0.005291477,0.008845746
SMR,0,0,0
SOM,0.001222641,0.01294972,0.024676798
SRB,0,0,0
SSD,0,0,0
STP,0.000565935,0.013108873,0.025651811
SUR,0.036177472,0.054784568,0.073391663
SVK,0,0,0
SVN,0,0,0
SWE,0.003775536,0.004822184,0.005868832
SYR,0.000151454,0.000271771,0.000392089
TCD,0,0,0
TGO,0.000197186,0.008034151,0.015871117
THA,0.002103901,0.016416599,0.030729297
TJK,0,0,0
TKM,0,0,0
TLS,0.004447281,0.01412636,0.023805439
TON,0.087831004,0.280019776,0.472208548
TTO,0.012106893,0.017739651,0.023372409
TUN,0.006426127,0.051601426,0.096776724
TUR,0.002013027,0.002954534,0.003896041
TUV,0.159463098,0.399206215,0.638949332
TWN,0.001698389,0.023168179,0.044637969
TZA,0.003281105,0.008629936,0.013978766
UGA,0,0,0
UKR,0.004580103,0.010111369,0.015642634
URY,0.009867497,0.015896841,0.021926184
USA,0.002866052,0.008265177,0.013664302
UZB,0,0,0
VEN,0.004606688,0.012479879,0.020353071
VNM,0.006063916,0.039249515,0.072435114
VUT,0.012472186,0.024639645,0.036807105
WSM,0.018220921,0.036571586,0.05492225
YEM,0.000374476,0.002135104,0.003895733
ZAF,0.000638011,0.001424436,0.002210862
ZMB,0,0,0
ZWE,0,0,0
