,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,RF_AISM_VUB_BM08_R2.dat,RF_BISI_LBL1KM_1KM_BM08_R2.dat,RF_BISI_LBL1KM_BM08_R2.dat,RF_CISM_NCA_BM08_R2.dat,RF_FETI_VUB_BM08_R2.dat,RF_GRIS_LSC_BM08_R2.dat,RF_IMAU_VUB_BM08_R2.dat,RF_ISSM_JPL_BM08_R2.dat,RF_ISSM_UCI_BM08_R2.dat,RF_MALI_LAN_BM08_R2.dat,RF_PISM_AWI_BM08_R2.dat,RF_PISM_DMI_BM08_R2.dat,RF_PISM_PIK_BM08_R2.dat,RF_PISM_VUW_BM08_R2.dat,RF_PS3D_PSU_BM08_R2.dat,RF_SICO_UHO_BM08_R2.dat,RF_UA_UNN_BM08_R2.dat
2010,5E-05,0.000136234,0.000123827,6.2611E-05,5.625E-05,0.000157548,0.00011625,8.12947E-05,0.000130679,9.31428E-05,0.000142101,0.000211914,0.000315691,0.00011525,8.75E-05,0.000375748,0.000126315
2011,6.25E-05,0.00012916,0.000119027,6.18477E-05,0.00026,-0.000157548,0.000144375,7.90153E-05,0.000117003,9.38686E-05,0.000136581,-0.000326813,0.000241593,0.000112535,8.75E-05,0.000381947,0.000126035
2012,6.25E-05,0.000152285,0.000160959,6.33746E-05,0.00041,9.45291E-05,0.000129125,3.57088E-05,0.000141316,9.35581E-05,0.000109917,0.000501997,0.000177256,0.000112535,8.75E-05,0.000369549,0.000125753
2013,7.5E-05,0.000189625,0.000141833,5.95571E-05,0.00029375,0.000157548,0.000127625,6.68592E-05,0.000137517,9.26116E-05,0.000110739,-0.000474741,0.000146904,0.000112535,8.75E-05,0.000378609,0.000125467
2014,7.5E-05,0.000122179,0.0001696,6.03204E-05,0.0001625,0.000252078,9.5E-05,9.11714E-05,7.06576E-05,9.34028E-05,0.000121215,0.000871492,0.000171921,0.000112535,7.5E-05,0.00039196,0.000125179
2015,7.5E-05,0.000107455,0.000139574,6.10836E-05,0.00019625,3.15097E-05,0.000109375,8.81325E-05,0.000132198,9.43746E-05,0.000125292,0.001051459,0.000177763,0.000112535,8.75E-05,0.000391006,0.000124888
2016,8.75E-05,0.000137806,0.000133168,5.72661E-05,0.0004775,0.000157548,0.00011175,4.55859E-05,0.000131439,9.65319E-05,0.000118681,0.000313077,0.000129927,0.000168745,7.5E-05,0.000399113,0.000124595
2017,8.75E-05,0.000145936,0.000108252,6.10841E-05,-0.0001375,9.45291E-05,0.000110875,8.7373E-05,0.000135997,9.78233E-05,9.71516E-05,-0.000345835,0.000107531,0.000168745,7.5E-05,0.000384331,0.0001243
2018,7.5E-05,0.000177087,0.000161204,5.95567E-05,8.75E-06,0.000157548,0.000105625,8.88919E-05,0.000125361,9.98463E-05,0.000125267,0.000365151,9.57699E-05,0.000168745,8.75E-05,0.000370502,0.000124003
2019,5E-05,5.77203E-05,0.000158556,5.95571E-05,-4.25E-05,0.000157548,0.000106375,7.21775E-05,0.000103328,0.000100843,0.000119291,4.25896E-05,0.000205693,0.000168745,7.5E-05,0.000384808,0.000123705
2020,7.5E-05,0.000173469,0.000135467,5.80298E-05,0.00031625,0.000189058,0.000110875,3.87477E-05,0.00012916,0.000102305,9.44147E-05,0.00039874,0.00021534,0.000168745,7.5E-05,0.000385761,0.000123405
2021,7.5E-05,0.000165946,0.00019588,6.10841E-05,0.0005475,3.15097E-05,0.00011325,8.20546E-05,0.000134477,0.000102525,9.40254E-05,5.47309E-06,0.000213871,0.000128378,5E-05,0.00039196,0.000123105
2022,6.25E-05,0.000108897,0.000110858,6.03204E-05,0.0002125,0.000126039,0.00011475,7.59764E-05,0.000136757,0.00010274,0.000112721,0.000156017,0.000163418,0.000128378,7.5E-05,0.00039959,0.000122803
2023,6.25E-05,0.000179574,0.000157284,5.8793E-05,0.0002025,-6.30194E-05,0.00011625,9.34508E-05,0.000132958,0.0001041,0.00012857,0.000266847,0.000166086,0.000128378,7.5E-05,0.000410557,0.000122501
2024,7.5E-05,8.49047E-05,0.000175735,6.03208E-05,0.00022,0.000126039,0.000111625,6.98981E-05,0.000126881,0.000102775,0.000113561,0.000467345,0.000219148,0.000128378,0.0000625,0.000428677,0.000122199
2025,5E-05,0.000170087,9.15436E-05,5.72666E-05,0.00026875,6.30194E-05,0.00011025,8.58535E-05,0.000135237,0.000104436,0.000109232,-0.000234623,0.000238824,0.000128378,0.0000625,0.000421047,0.000121897
2026,7.5E-05,0.000184906,0.000181084,5.8793E-05,0.00020375,3.15097E-05,0.000110125,8.66121E-05,0.00012916,0.000107273,0.000121041,0.000510421,0.000256275,0.000127389,7.5E-05,0.000419617,0.000121595
2027,6.25E-05,0.000122053,0.000148745,5.72661E-05,0.000175,0.000283587,0.000110875,8.5094E-05,0.000124601,0.000104685,0.000115028,0.000353335,0.000250992,0.000127389,7.5E-05,0.000413418,0.000121293
2028,6.25E-05,0.000113652,0.000166066,5.80298E-05,0.00029875,0.000315097,9.875E-05,8.05343E-05,0.000137517,0.000104959,0.000126239,-2.59655E-05,0.00030199,0.000127389,7.5E-05,0.00041008,0.000120993
2029,6.25E-05,0.00015777,0.000169319,5.80298E-05,0.0002875,0.000126039,8.975E-05,8.05352E-05,0.000116243,0.00010594,0.000118653,-0.00037739,0.000286473,0.000127389,8.75E-05,0.0004282,0.000120693
2030,7.5E-05,0.000141424,0.000128326,5.95571E-05,-7.5E-06,0.000157548,8.9625E-05,7.82553E-05,0.000126881,0.000108004,0.000134749,0.000194903,0.000300629,0.000127389,8.75E-05,0.000420094,0.000120394
2031,7.5E-05,0.000171593,0.00018557,6.03208E-05,0.00017125,0.000283587,8.8125E-05,8.6613E-05,0.000123842,0.000108198,8.95897E-05,2.43963E-05,0.000247419,0.00011682,1E-04,0.000425816,0.000120097
2032,8.75E-05,0.000137878,0.000205686,5.80288E-05,0.0002925,6.30194E-05,9.1125E-05,7.82553E-05,0.000132958,0.000109133,0.000104539,0.000575172,0.000253431,0.00011682,1E-04,0.000432491,0.000119801
2033,1E-04,0.000157547,0.000104833,6.10845E-05,0.00021375,0.000220568,9.125E-05,9.34508E-05,0.000133718,0.00010985,9.78253E-05,3.38716E-05,0.000265787,0.00011682,1E-04,0.000415802,0.000119507
2034,7.5E-05,0.000136625,0.000183111,6.18473E-05,0.000155,3.15097E-05,9.1125E-05,8.43341E-05,0.000123841,0.000110548,9.59227E-05,-0.000507793,0.00021231,0.00011682,1E-04,0.00042963,0.000119216
2035,5E-05,0.000147493,0.000166477,6.33746E-05,0.00028,0.000252078,9.275E-05,7.14175E-05,0.000101808,0.00011237,0.000101534,0.0008569,0.00017722,0.00011682,0.000125,0.000450134,0.000118927
2036,7.5E-05,0.000179471,0.000170429,6.10836E-05,0.0001175,6.30194E-05,9.4125E-05,8.43341E-05,0.000132198,0.000112343,0.000132923,0.000196521,0.000187018,9.327E-05,0.000125,0.000435829,0.00011864
2037,5E-05,0.000188585,0.000196513,6.03208E-05,0.00019,0.000157548,9.5E-05,9.49698E-05,0.000132958,0.00011349,0.000116726,0.000227292,0.000192269,9.327E-05,0.0001125,0.000427723,0.000118357
2038,7.5E-05,0.000116199,0.000147518,6.18482E-05,0.00021125,0.000189058,9.725E-05,8.43341E-05,9.57306E-05,0.00011494,0.000100946,-0.000379757,0.000224404,9.327E-05,0.000125,0.00041151,0.000118077
