,RCP3-PD/2.6,RCP4.5,RCP6,RCP8.5,RCP3-PD/2.6,RCP4.5,RCP6,RCP8.5,RCP3-PD/2.6,RCP4.5,RCP6,RCP8.5,RCP3-PD/2.6,RCP4.5,RCP6,RCP8.5,RCP3-PD/2.6,RCP4.5,RCP6,RCP8.5,RCP3-PD/2.6,RCP4.5,RCP6,RCP8.5
Year,CO2 (Mt CO2/yr),CO2 (Mt CO2/yr),CO2 (Mt CO2/yr),CO2 (Mt CO2/yr),CH4 (Mt CH4/yr),CH4 (Mt CH4/yr),CH4 (Mt CH4/yr),CH4 (Mt CH4/yr),Forcing|other agents (W/m2),Forcing|other agents (W/m2),Forcing|other agents (W/m2),Forcing|other agents (W/m2),Concentration|CH4 (ppm),Concentration|CH4 (ppm),Concentration|CH4 (ppm),Concentration|CH4 (ppm),Concentration|N2O (ppm),Concentration|N2O (ppm),Concentration|N2O (ppm),Concentration|N2O (ppm),Emissions|Sulfur,Emissions|Sulfur,Emissions|Sulfur,Emissions|Sulfur
2010,36218.96667,34899.33333,34426.7,36554.1,336.6229,322.5448,324.6848,347.3935,-0.257287646,-0.258829305,-0.293540847,-0.234902531,1773.1278,1767.0978,1768.688,1778.6749,322.95654,322.96652,323.07147,323.06113,62.23901814,49.51210501,47.16215543,43.3714
2011,36359.25333,35153.91,34414.82,37461.49,328.6374,323.84112,323.38128,354.56076,-0.24050011,-0.247606965,-0.285231051,-0.22674565,1779.5403,1770.3696,1772.7889,1788.0274,323.64575,323.66136,323.82554,323.80912,61.3386502,48.94604994,47.68170569,43.1495
2012,36499.54,35408.48667,34402.94,38368.88,320.6519,325.13744,322.07776,361.72802,-0.222808149,-0.235988772,-0.27544047,-0.220835115,1784.5519,1773.634,1776.5604,1798.6137,324.32716,324.35776,324.58119,324.57523,60.43828225,48.37999486,48.20125594,42.9276
2013,36639.82667,35663.06333,34391.06,39276.27,312.6664,326.43376,320.77424,368.89528,-0.206426232,-0.224129266,-0.265788734,-0.214021381,1786.3689,1776.916,1779.589,1810.5166,324.99264,325.0557,325.32519,325.36418,59.53791431,47.81393979,48.7208062,42.7057
2014,36780.11333,35917.64,34379.18,40183.66,304.6809,327.73008,319.47072,376.06254,-0.191017494,-0.21248458,-0.25660751,-0.207213001,1785.2863,1780.2442,1781.9675,1823.6553,325.6422,325.75517,326.05742,326.17584,58.63754636,47.24788471,49.24035646,42.4838
2015,36920.4,36172.21667,34367.3,41091.05,296.6954,329.0264,318.1672,383.2298,-0.176279607,-0.200821649,-0.247649957,-0.200195654,1781.5822,1783.6532,1783.7889,1837.9657,326.27584,326.45616,326.77777,327.0101,57.73717842,46.68182964,49.75990672,42.2619
2016,37060.68667,36426.79333,34355.42,41998.44,288.7099,330.32272,316.86368,390.39706,-0.16213201,-0.189121826,-0.238881982,-0.192967741,1775.478,1787.1405,1785.1042,1853.3544,326.8936,327.15866,327.48616,327.86681,56.83681047,46.11577456,50.27945697,42.04
2017,37200.97333,36681.37,34343.54,42905.83,280.7244,331.61904,315.56016,397.56432,-0.148507055,-0.177373824,-0.230275956,-0.185533486,1767.1513,1790.6772,1785.9337,1869.7086,327.49559,327.86264,328.18265,328.7458,55.93644253,45.54971949,50.79900723,41.8181
2018,37341.26,36935.94667,34331.66,43813.22,272.7389,332.91536,314.25664,404.73158,-0.135343846,-0.16557073,-0.22181084,-0.177901758,1756.7736,1794.2446,1786.3038,1886.932,328.08194,328.56811,328.86735,329.64686,55.03607458,44.98366441,51.31855749,41.5962
2019,37481.54667,37190.52333,34319.78,44720.61,264.7534,334.21168,312.95312,411.89884,-0.122172133,-0.153285387,-0.213045068,-0.169660188,1744.5114,1797.8331,1786.2466,1904.9443,328.6528,329.27503,329.54034,330.5698,54.13570664,44.41760934,51.83810774,41.3743
2020,37621.83333,37445.1,34307.9,45628,256.7679,335.508,311.6496,419.0661,-0.110295452,-0.141434492,-0.203503934,-0.160267188,1730.518,1801.4336,1785.7913,1923.671,329.2083,329.98341,330.20175,331.51441,53.23533869,43.85155426,52.357658,41.1524
2021,36773.11,37796.11,34337.63667,46401.70333,254.65433,335.85701,313.11564,425.58022,-0.101195288,-0.1311468,-0.192891119,-0.149370922,1714.8713,1804.9692,1784.8938,1942.9669,329.74858,330.69322,330.85166,332.4805,51.0572239,43.66291199,52.47137204,40.70579
2022,35924.38667,38147.12,34367.37333,47175.40667,252.54076,336.20602,314.58168,432.09434,-0.094069321,-0.121203637,-0.181479006,-0.138505207,1698.7239,1808.3032,1784.0299,1962.6522,330.27812,331.40414,331.50208,333.466,48.87910912,43.47426972,52.58508608,40.25918
2023,35075.66333,38498.13,34397.11,47949.11,250.42719,336.55503,316.04772,438.60846,-0.087764532,-0.111043137,-0.169890264,-0.128576023,1683.3058,1811.4034,1783.7309,1982.667,330.80136,332.11582,332.165,334.46888,46.70099433,43.28562745,52.69880012,39.81257
2024,34226.94,38849.14,34426.84667,48722.81333,248.31362,336.90404,317.51376,445.12258,-0.081591646,-0.101072022,-0.158188938,-0.118695209,1668.8253,1814.3245,1783.9868,2003.0226,331.31844,332.82825,332.8405,335.48893,44.52287954,43.09698518,52.81251416,39.36596
2025,33378.21667,39200.15,34456.58333,49496.51667,246.20005,337.25305,318.9798,451.6367,-0.075480604,-0.091263412,-0.146358317,-0.108845279,1655.3673,1817.1155,1784.7856,2023.7269,331.8295,333.54143,333.52868,336.52597,42.34476476,42.90834292,52.9262282,38.91935
2026,32529.49333,39551.16,34486.32,50270.22,244.08648,337.60206,320.44584,458.15082,-0.069416049,-0.081604223,-0.134396776,-0.099023337,1642.8547,1819.8284,1786.1234,2044.7958,332.33463,334.25534,334.22958,337.57981,40.16664997,42.71970065,53.03994224,38.47274
2027,31680.77,39902.17,34516.05667,51043.92333,241.97291,337.95107,321.91188,464.66494,-0.063392811,-0.072081041,-0.122303021,-0.089226282,1631.1869,1822.4758,1787.962,2066.2057,332.83393,334.96997,334.94313,338.65031,37.98853518,42.53105838,53.15365628,38.02613
2028,30832.04667,40253.18,34545.79333,51817.62667,239.85934,338.30008,323.37792,471.17906,-0.057407187,-0.062688708,-0.110081771,-0.079457847,1620.2505,1825.0416,1790.2392,2087.9036,333.32743,335.68531,335.66923,339.73729,35.81042039,42.34241611,53.26737032,37.57952
2029,29983.32333,40604.19,34575.53,52591.33,237.74577,338.64909,324.84396,477.69318,-0.051451684,-0.053421263,-0.097735848,-0.069719947,1609.952,1827.5186,1792.9056,2109.849,333.81519,336.40136,336.40777,340.84061,33.63230561,42.15377384,53.38108436,37.13291
2030,29134.6,40955.2,34605.26667,53365.03333,235.6322,338.9981,326.31,484.2073,-0.046752676,-0.043969547,-0.088270731,-0.058471181,1600.2154,1829.9083,1795.9236,2132.0135,334.29728,337.11811,337.15862,341.96012,31.45419082,41.96513157,53.4947984,36.6863
2031,28063.23667,41089.80333,35119.48,54420.11667,234.57183,338.85573,328.09167,493.52545,-0.044546205,-0.034026686,-0.084723975,-0.044161878,1590.9764,1832.2116,1799.2652,2154.3675,334.77372,337.83556,337.92168,343.09567,30.20198881,41.27936272,53.1711161,36.25961
2032,26991.87333,41224.40667,35633.69333,55475.2,233.51146,338.71336,329.87334,502.8436,-0.042804284,-0.024370546,-0.083812392,-0.029184401,1582.2005,1834.2573,1802.8629,2177.3915,335.24387,338.5514,338.69708,344.24737,28.94978679,40.59359387,52.8474338,35.83292
2033,25920.51,41359.01,36147.90667,56530.28333,232.45109,338.57099,331.65501,512.16175,-0.040256636,-0.015404638,-0.082640256,-0.015103628,1573.8792,1835.9165,1806.6744,2201.5638,335.70704,339.26337,339.48491,345.41535,27.69758478,39.90782502,52.52375149,35.40623
2034,24849.14667,41493.61333,36662.12,57585.36667,231.39072,338.42862,333.43668,521.4799,-0.037660059,-0.006765041,-0.081644932,-0.001102948,1566.0052,1837.2698,1810.7279,2226.8476,336.16328,339.97144,340.28509,346.59946,26.44538277,39.22205617,52.20006919,34.97954
2035,23777.78333,41628.21667,37176.33333,58640.45,230.33035,338.28625,335.21835,530.79805,-0.034997847,0.001533633,-0.080850883,0.012787373,1558.5643,1838.3808,1815.0411,2253.1982,336.61265,340.67563,341.09749,347.79956,25.19318076,38.53628733,51.87638689,34.55285
2036,22706.42,41762.82,37690.54667,59695.53333,229.26998,338.14388,337.00002,540.1162,-0.032261805,0.009479866,-0.080277809,0.026541352,1551.5411,1839.3058,1819.6281,2280.5735,337.05519,341.37592,341.92201,349.01549,23.94097874,37.85051848,51.55270459,34.12616
2037,21635.05667,41897.42333,38204.76,60750.61667,228.20961,338.00151,338.78169,549.43435,-0.029450807,0.017062652,-0.079944638,0.040136266,1544.9268,1840.1035,1824.5089,2308.9451,337.49097,342.07235,342.75853,350.24713,22.68877673,37.16474963,51.22902229,33.69947
2038,20563.69333,42032.02667,38718.97333,61805.7,227.14924,337.85914,340.56336,558.7525,-0.026565737,0.024274064,-0.079867177,0.053551279,1538.6838,1840.7918,1829.6668,2338.2441,337.92005,342.76495,343.60696,351.49431,21.43657472,36.47898078,50.90533998,33.27278
2039,19492.33,42166.63,39233.18667,62860.78333,226.08887,337.71677,342.34503,568.07065,-0.023612698,0.031104509,-0.0800623,0.066763785,1532.7554,1841.3593,1835.0584,2368.3713,338.34248,343.45375,344.46717,352.75691,20.1843727,35.79321193,50.58165768,32.84609
2040,18420.96667,42301.23333,39747.4,63915.86667,225.0285,337.5744,344.1267,577.3888,-0.021690262,0.037859705,-0.078688262,0.079431204,1527.0976,1841.8029,1840.6512,2399.2445,338.75834,344.13879,345.33907,354.03477,18.93217069,35.10744308,50.25797538,32.4194
2041,17820.69667,42207.07333,40385.32667,65143.83333,221.45546,336.95066,345.22016,587.33132,-0.02191139,0.044854342,-0.073907826,0.091210581,1521.6802,1842.1277,1846.4199,2430.7994,339.16766,344.82011,346.22254,355.32775,18.27060564,34.33519519,49.65496208,31.64568
2042,17220.42667,42112.91333,41023.25333,66371.8,217.88242,336.32692,346.31362,597.27384,-0.023247872,0.051403465,-0.068096635,0.102646134,1516.0256,1842.2412,1852.2293,2463.0464,339.56219,345.49546,347.11642,356.63072,17.60904059,33.5629473,49.05194878,30.87196
