,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,RF_AISM_VUB_BM08_R1.dat,RF_BISI_LBL1KM_1KM_BM08_R1.dat,RF_BISI_LBL1KM_BM08_R1.dat,RF_CISM_NCA_BM08_R1.dat,RF_FETI_VUB_BM08_R1.dat,RF_GRIS_LSC_BM08_R1.dat,RF_IMAU_VUB_BM08_R1.dat,RF_ISSM_JPL_BM08_R1.dat,RF_ISSM_UCI_BM08_R1.dat,RF_MALI_LAN_BM08_R1.dat,RF_PISM_AWI_BM08_R1.dat,RF_PISM_DMI_BM08_R1.dat,RF_PISM_PIK_BM08_R1.dat,RF_PISM_VUW_BM08_R1.dat,RF_PS3D_PSU_BM08_R1.dat,RF_SICO_UHO_BM08_R1.dat,RF_UA_UNN_BM08_R1.dat
2010,2.5E-05,0.00016819,0.000175024,6.03204E-05,0.00013125,0.000283587,0.0002105,0.000119283,0.00022717,8.73356E-05,6.60147E-05,0.000115243,9.21376E-05,0.000255637,1.25E-05,0.000247002,0.000319085
2011,3.75E-05,0.000135377,0.000139581,5.80302E-05,7.5E-05,-3.15097E-05,0.00019375,0.000125361,0.000268955,8.37969E-05,5.66363E-05,0.000419446,4.86211E-05,0.000228576,1.25E-05,0.000244141,0.00031831
2012,3.75E-05,0.000148251,0.000148452,5.80298E-05,0.00017,0.000252078,0.000207375,0.000105607,0.000254521,8.33716E-05,3.6792E-05,0.000196936,6.34434E-05,0.000228576,1.25E-05,0.000212669,0.000317537
2013,3.75E-05,0.000103978,0.000161786,5.8793E-05,4.625E-05,-6.30194E-05,0.00021275,0.000116244,0.000235526,8.28068E-05,5.3398E-05,-0.000213577,5.71843E-05,0.000228576,0,0.000223637,0.000316767
2014,2.5E-05,0.000124454,0.000163578,5.80302E-05,0.00012375,0.000346607,0.00021725,0.000131438,0.000202857,8.64186E-05,7.76654E-05,-8.8051E-05,2.73099E-05,0.000228576,1.25E-05,0.00022316,0.000316001
2015,3.75E-05,0.000131649,0.000134277,5.8793E-05,0.00012375,-9.45291E-05,0.000221875,0.000122322,0.000232488,8.79642E-05,8.73367E-05,0.001122997,1.32476E-05,0.000228576,1.25E-05,0.00022459,0.000315238
2016,3.75E-05,0.00012726,0.000130718,5.72661E-05,0.0001925,0.000126039,0.000224875,0.000122322,0.000279592,9.04088E-05,9.31417E-05,-0.000633697,2.78785E-05,0.000211615,2.5E-05,0.00022459,0.000314481
2017,3.75E-05,0.000117115,0.000118028,6.03204E-05,1.125E-05,3.15097E-05,0.00022875,0.000120802,0.000171706,9.03654E-05,0.000100922,0.000304661,5.11601E-05,0.000211615,1.25E-05,0.000214577,0.000313728
2018,3.75E-05,0.000137358,0.00016725,5.95571E-05,0.0000625,9.45291E-05,0.00023625,0.000115484,0.000255279,8.98083E-05,0.00010629,-2.1763E-05,1.70622E-05,0.000211615,2.5E-05,0.000207424,0.000312982
2019,2.5E-05,8.54067E-05,0.000160577,6.03204E-05,0.00016375,3.15097E-05,0.00025075,0.000126881,0.000275794,8.86118E-05,9.84131E-05,5.2529E-05,5.76417E-05,0.000211615,2.5E-05,0.000209332,0.000312242
2020,5E-05,0.000155811,0.000122474,5.65029E-05,7.25E-05,0.000252078,0.000249125,0.000140556,0.00016031,8.84024E-05,9.38168E-05,-2.5021E-05,2.09997E-05,0.000211615,1.25E-05,0.000218391,0.00031151
2021,3.75E-05,0.000137048,0.000197025,6.03204E-05,4.875E-05,-9.45291E-05,0.000264375,0.000121562,0.000260599,8.64662E-05,8.3843E-05,-0.000151339,9.58253E-05,0.000201924,1.25E-05,0.000225544,0.000310785
2022,5E-05,7.93E-05,8.88023E-05,6.33742E-05,3.875E-05,0.000157548,0.00023475,0.000105607,0.000210453,8.64085E-05,9.37588E-05,0.000194115,0.000101291,0.000201924,2.5E-05,0.000216007,0.00031007
2023,2.5E-05,0.00015117,0.000184656,5.95571E-05,0.00011875,-0.000157548,0.000228,0.000129919,0.000259839,8.62761E-05,0.000103691,0.000702405,0.000130024,0.000201924,0,0.000214577,0.000309363
2024,3.75E-05,8.99204E-05,0.00013392,6.64284E-05,7.5E-06,0.000126039,0.000220375,0.000123082,0.000240846,8.6761E-05,0.000148293,0.000358896,9.35062E-05,0.000201924,1.25E-05,0.000219822,0.000308666
2025,3.75E-05,0.000168378,9.41509E-05,6.03208E-05,0.00027625,-0.000126039,0.000224875,0.000115483,0.000266677,8.64E-05,0.000108169,0.000160175,6.79333E-05,0.000201924,2.5E-05,0.000219822,0.00030798
2026,2.5E-05,7.92659E-05,0.000130765,5.95567E-05,8E-05,6.30194E-05,0.000208875,0.000125362,0.000256799,8.60192E-05,8.36249E-05,-0.000588309,8.46394E-05,0.000218581,1.25E-05,0.000229359,0.000307304
2027,3.75E-05,0.000117011,0.000122097,6.03208E-05,-8.75E-06,3.15097E-05,0.000203625,0.000124601,0.000181584,8.42917E-05,5.6457E-05,0.000302571,8.61816E-05,0.000218581,3.75E-05,0.00024271,0.00030664
2028,3.75E-05,9.75111E-05,0.000234875,6.26105E-05,0.00013875,9.45291E-05,0.0001915,0.000117763,0.000263637,8.53796E-05,5.45268E-05,0.000148758,5.16312E-05,0.000218581,1.25E-05,0.000226974,0.000305989
2029,3.75E-05,0.000101393,2.7652E-05,6.41388E-05,0.0001775,-3.15097E-05,0.000177,0.000123082,0.000280352,8.75338E-05,5.53145E-05,-0.000145653,7.16767E-05,0.000218581,2.5E-05,0.000235558,0.00030535
2030,3.75E-05,0.000130808,0.000139147,6.03204E-05,1.625E-05,9.45291E-05,0.0001785,0.000116244,0.000279592,8.55716E-05,7.72487E-05,-0.000211691,6.53817E-05,0.000218581,2.5E-05,0.00023365,0.000304725
2031,3.75E-05,0.000143062,0.000102007,6.41383E-05,9.625E-05,9.45291E-05,0.000180875,0.00012764,0.000297828,8.50784E-05,6.35224E-05,0.001186619,0.000124824,0.000232317,2.5E-05,0.000221729,0.000304115
