MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
WITCH-GLOBIOM,SSP1-26,R5.2REF,Population,million,369.88158,371.196,378.62,379.044,376.178,368.056,354.318,336.108,313.2,287.162,259.638
WITCH-GLOBIOM,SSP2-45,R5.2ASIA,Population,million,3425.37736,3607.599,3940.946,4197.052,4360.073,4428.035,4399.568,4295.996,4138.476,3942.095,3732.192
WITCH-GLOBIOM,SSP2-45,R5.2LAM,Population,million,547.75161,588.219,646.948,694.365,726.921,744.117,745.835,736.856,719.838,696.937,671.468
WITCH-GLOBIOM,SSP2-45,R5.2MAF,Population,million,1053.86497,1185.914,1473.86,1770.825,2063.648,2335.628,2563.9,2748.169,2886.313,2978.064,3029.284
WITCH-GLOBIOM,SSP2-45,R5.2OECD,Population,million,1078.21554,1115.751,1168.944,1213.106,1246.415,1270.493,1287.739,1294.998,1291.945,1278.645,1254.705
WITCH-GLOBIOM,SSP2-45,R5.2REF,Population,million,369.88158,371.196,381.922,388.072,391.51,392.329,389.131,382.317,372.088,359.558,346.048
WITCH-GLOBIOM,SSP4-60,R5.2ASIA,Population,million,3425.37736,3607.617,3918.68,4130.522,4235.1,4239.882,4145.873,3976.761,3760.578,3522.407,3287.856
WITCH-GLOBIOM,SSP4-60,R5.2LAM,Population,million,547.75161,588.219,643.842,683.161,704.379,707.753,695.09,671.149,639.362,603.041,565.352
WITCH-GLOBIOM,SSP4-60,R5.2MAF,Population,million,1053.86497,1185.914,1497.512,1852.745,2231.111,2625.927,3007.296,3362.611,3694.914,3998.697,4273.267
WITCH-GLOBIOM,SSP4-60,R5.2OECD,Population,million,1078.21554,1115.751,1161.578,1188.797,1200.299,1195.732,1177.828,1146.089,1101.256,1044.286,977.118
WITCH-GLOBIOM,SSP4-60,R5.2REF,Population,million,369.88158,371.196,379.373,380.266,376.408,367.301,353.019,334.01,311.189,286.707,261.821
WITCH-GLOBIOM,SSP5-Baseline,R5.2ASIA,Population,million,3425.37736,3607.555,3884.727,4044.623,4098.687,4043.922,3892.609,3668.572,3389.089,3067.613,2722.744
WITCH-GLOBIOM,SSP5-Baseline,R5.2LAM,Population,million,547.75161,588.219,634.653,658.238,664.339,653.326,627.853,593.612,553.28,506.006,451.661
WITCH-GLOBIOM,SSP5-Baseline,R5.2MAF,Population,million,1053.86497,1185.914,1439.186,1667.308,1868.946,2024.107,2126.668,2183.761,2195.149,2164.67,2098.103
WITCH-GLOBIOM,SSP5-Baseline,R5.2OECD,Population,million,1078.21554,1115.751,1189.716,1279.771,1371.869,1469.842,1572.674,1666.547,1746.681,1807.48,1848.673
WITCH-GLOBIOM,SSP5-Baseline,R5.2REF,Population,million,369.88158,371.196,378.581,379.98,378.684,371.899,359.4,341.919,318.995,292.489,264.197
