Country,alpha,beta
NER,27.9500422,1.17121685
NGA,26.37171427,0.969456815
NIC,25.40512267,1.131644161
NLD,9.601700894,1.089919265
NOR,4.430103403,1.319547455
NPL,19.46426598,1.135470302
NZL,13.27545323,0.847961416
OMN,26.58249373,1.255981614
PAK,22.85590608,1.330152309
PAN,25.31668457,0.907762668
PER,15.69497658,1.122153156
PHL,25.96471213,0.863850771
PLW,25.93468482,1.009661162
PNG,20.86761929,0.878476974
POL,7.473894966,1.417414673
PRI,25.15035447,0.83552088
PRK,8.428818059,1.43187411
PRT,14.64602853,1.043963851
PRY,22.0459693,1.186578737
PSX,19.25219298,1.316481117
QAT,26.40490128,1.335365041
ROU,9.211605793,1.555640884
RUS,3.503762528,1.736419217
RWA,18.4304255,1.034213969
SAH,22.59560837,1.339979911
SAU,25.10721792,1.437221424
SDN,28.00813657,1.17499141
SDS,27.41295688,0.937202954
SEN,26.91245087,1.063131648
SLB,25.66690104,0.783332913
SLE,25.62798038,0.984188258
SLV,25.13054166,1.130620123
SMR,10.85444617,1.237153202
SOL,23.29052198,1.129446821
SOM,26.81942874,0.943762509
SRB,10.64558561,1.538568616
STP,18.294404,1.011120894
SUR,25.93468482,1.009661162
SVK,7.758675947,1.4890304
SVN,9.192207531,1.469413055
SWE,5.476935248,1.379916287
SWZ,18.97067339,1.113824386
SYR,17.32002581,1.417976735
TCD,27.72104924,1.032821739
TGO,26.44500274,0.935221578
THA,26.96608698,0.975508898
TJK,9.951570445,1.60785159
TKM,14.69682044,1.533628096
TLS,24.01238092,0.833117124
TON,19.63483776,1.218746319
TTO,26.02074691,0.841085482
TUN,18.43325104,1.288545279
TUR,12.37801724,1.443693974
TUV,23.47573403,1.001329154
TWN,21.93456706,0.947575919
TZA,22.19012805,1.005920403
UGA,21.96165975,0.951272574
UKR,7.765058807,1.5728488
URY,16.74761096,0.854630749
USA,14.01767827,1.389063549
UZB,13.0134115,1.575783481
VEN,24.55946022,1.092516495
VNM,24.98296696,0.972072451
VUT,24.72506395,0.759111826
WSM,24.63219057,1.003517738
YEM,22.40381301,1.123789449
ZAF,17.30266787,1.186480034
ZMB,21.03717366,1.175268332
ZWE,19.63483776,1.218746319
