Country,alpha,beta
AFG,10.74586352,1.622827125
AGO,21.79668798,1.077377677
ALB,12.30523052,1.422602551
ARE,27.06236726,1.308153427
ARG,16.88351735,0.919834742
ARM,7.214417597,1.570800192
ATA,-273.1499939,0
ATF,-273.1499939,0
ATG,25.85552417,0.95305199
AUS,16.50208939,0.954352841
AUT,7.256701897,1.434940471
AZE,12.5026681,1.423569577
BDI,19.82382554,1.037291481
BEL,9.67196365,1.150231138
BEN,26.71737647,0.928516066
BFA,27.76435741,1.087865885
BGD,25.07069434,0.974512884
BGR,10.08880967,1.507682777
BHR,26.40490128,1.335365041
BHS,23.93965224,0.884975823
BIH,9.317333376,1.513717334
BLR,5.604371568,1.58716001
BLZ,25.46116405,1.071145328
BMU,21.96165975,0.951272574
BOL,14.44678049,1.298243384
BRA,22.65226674,1.075995626
BRB,25.85552417,0.95305199
BRN,26.35331613,0.898406101
BTN,12.95087865,1.121053015
BWA,20.37545833,1.375497304
CAF,25.41399613,0.956336352
CAN,5.753879488,1.669491205
CHE,7.246651682,1.373560695
CHL,12.1724825,1.02005165
CHN,14.70409339,1.280533599
CIV,25.85552417,0.95305199
CMR,24.15856962,0.989942819
COD,23.47573403,1.001329154
COG,24.40228873,0.968103363
COL,19.60757251,1.083786296
COM,25.13054166,1.130620123
CPV,19.82382554,1.037291481
CRI,20.78053252,0.992023576
CUB,25.14899039,0.968919742
CYN,19.64569264,1.150842844
CYP,19.4127012,1.118064789
CZE,7.506388479,1.404814699
DEU,8.556378884,1.280874058
DJI,27.44274716,1.119292203
DMA,21.96165975,0.951272574
DNK,7.684813984,1.179706275
DOM,24.14875193,0.980675502
DZA,16.82550948,1.376952321
ECU,18.294404,1.011120894
EGY,21.58654977,1.293902029
ERI,22.87232118,1.144070602
ESP,14.39016641,1.288752336
EST,4.593162933,1.599725863
ETH,18.93204711,1.057794983
FIN,3.084749352,1.671955439
FJI,24.23339875,0.749811745
FLK,6.324101373,0.57666718
FRA,10.85444617,1.237153202
FSM,26.81942874,0.943762509
GAB,24.68233395,0.936740474
GBR,9.321579,0.991520773
GEO,9.510681617,1.502840378
GHA,26.4291857,0.927813809
GIN,25.28135893,1.052972604
GMB,26.6979283,1.049612082
GNB,27.28297723,0.996757666
GNQ,24.07918147,0.926816202
GRC,15.20839899,1.345141562
GRD,25.39605441,0.871858504
GRL,-3.645387793,1.3943484
GTM,19.89385843,1.196725223
GUY,25.59401523,1.013988755
HKG,22.87232118,1.144070602
HND,22.77201033,1.182027504
HRV,11.02804175,1.494942028
HTI,24.63219057,1.003517738
HUN,9.872767105,1.516915694
IDN,25.39605441,0.871858504
IND,25.00126397,1.034362591
IRL,9.266811856,0.845153262
IRN,14.69241189,1.538499357
IRQ,23.0901334,1.584421874
ISL,3.132567529,1.229878538
ISR,19.5734825,1.2288149
ITA,13.08710223,1.3632327
JAM,25.27112611,0.886424134
JOR,17.95838733,1.346294999
JPN,13.9957411,1.194296314
KAZ,5.721161398,1.717683936
KEN,20.33138718,0.946806443
KGZ,6.09241457,1.623639865
KHM,27.92609634,0.950794828
KNA,24.63219057,1.003517738
KOR,11.92510739,1.303305484
KOS,9.625011863,1.512149087
KWT,25.12665844,1.491041548
LAO,24.0056441,1.019816838
LBN,15.93301663,1.245076147
LBR,25.04125571,0.945086623
LBY,20.01234289,1.25138629
LKA,25.56249632,0.848351802
LSO,11.90808544,1.3095934
LTU,5.782560714,1.506473598
LUX,8.548349661,1.257137315
LVA,5.47406504,1.524206008
MAR,17.46836501,1.272693393
MDA,8.968427952,1.575072326
MDG,20.53423349,0.952722631
MEX,18.89053517,1.203359432
MKD,10.06484782,1.509294436
MLI,27.76351036,1.211302465
MMR,25.77904276,1.001548134
MNE,9.759183577,1.471394607
MNG,-1.41017913,1.62767548
MOZ,23.07860735,1.067895192
MRT,28.19184357,1.265245593
MUS,19.63483776,1.218746319
MWI,20.95016721,1.133938041
MYS,26.277022,0.885270811
NAM,21.03199708,1.35013661
NCL,22.05732034,0.800649972
