xi_1,F_2XCO2,T_2xCO2,gamma,C0
xi_1,1,,,,
F_2XCO2,0.013918062113976,1,,,
T_2xCO2,-0.193425755823774,0.651224938074659,1,,
gamma,-0.437158290210702,-0.462276744415161,0.06548747334894,1,
C0,-0.044507705618626,-0.039655166311506,-0.080161402919714,-0.119776142709625,1
